country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Bolivia,Bolivia,BO,,Beni,Beni,Cercado,Cercado,SanJavier,SanJavier,America/La_Paz,UTC -4.0,-14.4220264034444,-64.4254564784184
Bolivia,Bolivia,BO,,Beni,Beni,Cercado,Cercado,Trinidad,Trinidad,America/La_Paz,UTC -4.0,-14.8349791532245,-64.6575088855743
Bolivia,Bolivia,BO,,Beni,Beni,GeneralJoséBallivián,GeneralJoséBallivián,PuertoMenordeRurrenabaque,PuertoMenordeRurrenabaque,America/La_Paz,UTC -4.0,-14.6886410928129,-67.3057191221376
Bolivia,Bolivia,BO,,Beni,Beni,GeneralJoséBallivián,GeneralJoséBallivián,Reyes,Reyes,America/La_Paz,UTC -4.0,-13.4028553568077,-67.0580254771619
Bolivia,Bolivia,BO,,Beni,Beni,GeneralJoséBallivián,GeneralJoséBallivián,SanBorja,SanBorja,America/La_Paz,UTC -4.0,-15.0037052885874,-66.8085158382131
Bolivia,Bolivia,BO,,Beni,Beni,GeneralJoséBallivián,GeneralJoséBallivián,SantaRosa,SantaRosa,America/La_Paz,UTC -4.0,-13.3187089264016,-66.6614222928525
Bolivia,Bolivia,BO,,Beni,Beni,Iténez,Iténez,Baures,Baures,America/La_Paz,UTC -4.0,-13.625121006131,-62.8756269574815
Bolivia,Bolivia,BO,,Beni,Beni,Iténez,Iténez,Huacaraje,Huacaraje,America/La_Paz,UTC -4.0,-13.8239912507305,-64.0627034512368
Bolivia,Bolivia,BO,,Beni,Beni,Iténez,Iténez,Magdalena,Magdalena,America/La_Paz,UTC -4.0,-12.9945859465628,-63.6875058953886
Bolivia,Bolivia,BO,,Beni,Beni,Mamoré,Mamoré,PuertoSiles,PuertoSiles,America/La_Paz,UTC -4.0,-12.4241262681169,-64.9863867838147
Bolivia,Bolivia,BO,,Beni,Beni,Mamoré,Mamoré,SanJoaquín,SanJoaquín,America/La_Paz,UTC -4.0,-12.9644896633028,-64.8560210363204
Bolivia,Bolivia,BO,,Beni,Beni,Mamoré,Mamoré,SanRamón,SanRamón,America/La_Paz,UTC -4.0,-13.5081035079358,-64.5998311686757
Bolivia,Bolivia,BO,,Beni,Beni,Marbán,Marbán,Loreto,Loreto,America/La_Paz,UTC -4.0,-15.568036432181,-64.9204009979809
Bolivia,Bolivia,BO,,Beni,Beni,Marbán,Marbán,SanAndrés,SanAndrés,America/La_Paz,UTC -4.0,-15.3740757222521,-64.1423428635789
Bolivia,Bolivia,BO,,Beni,Beni,Moxos,Moxos,SanIgnacio,SanIgnacio,America/La_Paz,UTC -4.0,-15.4687108084371,-65.6868201881809
Bolivia,Bolivia,BO,,Beni,Beni,VacaDiez,VacaDiez,Guayaramerín,Guayaramerín,America/La_Paz,UTC -4.0,-11.3082637972813,-65.4366592139302
Bolivia,Bolivia,BO,,Beni,Beni,VacaDiez,VacaDiez,Riberalta,Riberalta,America/La_Paz,UTC -4.0,-11.5278842633303,-66.1008443577215
Bolivia,Bolivia,BO,,Beni,Beni,Yacuma,Yacuma,Exaltación,Exaltación,America/La_Paz,UTC -4.0,-12.8037804748646,-65.7831789520473
Bolivia,Bolivia,BO,,Beni,Beni,Yacuma,Yacuma,SantaAna,SantaAna,America/La_Paz,UTC -4.0,-14.3499891321543,-65.9965605323716
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,Azurduy,Azurduy,Azurduy,Azurduy,America/La_Paz,UTC -4.0,-20.1813087886863,-64.4328810840964
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,Azurduy,Azurduy,Tarvita,Tarvita,America/La_Paz,UTC -4.0,-19.7722237440262,-64.5617709802319
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,BelisarioBoeto,BelisarioBoeto,VillaSerrano,VillaSerrano,America/La_Paz,UTC -4.0,-18.9519360823476,-64.2999991470684
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,HernandoSiles,HernandoSiles,Huacareta,Huacareta,America/La_Paz,UTC -4.0,-20.59463899431,-64.0098635388225
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,HernandoSiles,HernandoSiles,Monteagudo,Monteagudo,America/La_Paz,UTC -4.0,-20.0146732229674,-64.0750321234504
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,LuisCalvo,LuisCalvo,Huacaya,Huacaya,America/La_Paz,UTC -4.0,-20.7165579755071,-63.5947201904656
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,LuisCalvo,LuisCalvo,Macharetí,Macharetí,America/La_Paz,UTC -4.0,-20.725429231623,-62.8790136001851
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,LuisCalvo,LuisCalvo,VillaVacaGuzmán,VillaVacaGuzmán,America/La_Paz,UTC -4.0,-19.8928829434826,-63.802383142011
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,NorCinti,NorCinti,Camargo,Camargo,America/La_Paz,UTC -4.0,-20.6025086094306,-65.1560365968595
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,NorCinti,NorCinti,Incahuasi,Incahuasi,America/La_Paz,UTC -4.0,-20.5906830440057,-64.572097216932
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,NorCinti,NorCinti,SanLucas,SanLucas,America/La_Paz,UTC -4.0,-20.160693311755,-64.8993693636475
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,NorCinti,NorCinti,VillaCharcas,VillaCharcas,America/La_Paz,UTC -4.0,-20.5721487939203,-64.8207125194815
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,Oropeza,Oropeza,Poroma,Poroma,America/La_Paz,UTC -4.0,-18.621854525422,-65.3850954614984
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,Oropeza,Oropeza,Sucre,Sucre,America/La_Paz,UTC -4.0,-18.937778191537,-65.2504689082521
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,Oropeza,Oropeza,Yotala,Yotala,America/La_Paz,UTC -4.0,-19.2250933074125,-65.2648276454408
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,SurCinti,SurCinti,Culpina,Culpina,America/La_Paz,UTC -4.0,-20.8697536160885,-64.5720202392087
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,SurCinti,SurCinti,LasCarreras,LasCarreras,America/La_Paz,UTC -4.0,-21.2955957212332,-65.3202164494583
Bolivia,Bolivia,BO,,Chuquisaca,Chuquisaca,SurCinti,SurCinti,VillaAbecia,VillaAbecia,America/La_Paz,UTC -4.0,-20.9862507780757,-65.2876837849532
