country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Djerem,Djerem,Ngaoundal,Ngaoundal,Africa/Douala,UTC +1.0,6.31884978130668,13.1072440469312
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Djerem,Djerem,Tibati,Tibati,Africa/Douala,UTC +1.0,6.53784919956518,12.546356004948
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Faro et Déo,Faro et Déo,Galim Tignère,Galim Tignère,Africa/Douala,UTC +1.0,7.13558295120747,12.3844690329057
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Faro et Déo,Faro et Déo,Mayo Baléo,Mayo Baléo,Africa/Douala,UTC +1.0,7.65855019394117,12.2800617303911
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Faro et Déo,Faro et Déo,Tignère,Tignère,Africa/Douala,UTC +1.0,7.39963663691201,12.7706190326859
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mayo Banyo,Mayo Banyo,Bankim,Bankim,Africa/Douala,UTC +1.0,6.27118010823698,11.4667606668593
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mayo Banyo,Mayo Banyo,Banyo,Banyo,Africa/Douala,UTC +1.0,6.77890030996936,11.9057320533211
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mayo Banyo,Mayo Banyo,Mayo Darlé,Mayo Darlé,Africa/Douala,UTC +1.0,6.50192516042054,11.6635514447421
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mbéré,Mbéré,Dir,Dir,Africa/Douala,UTC +1.0,6.34009619519064,13.8062133979341
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mbéré,Mbéré,Djohong,Djohong,Africa/Douala,UTC +1.0,6.92501718767002,14.8703223445541
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Mbéré,Mbéré,Meiganga,Meiganga,Africa/Douala,UTC +1.0,6.4629181287331,14.4873332283705
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Belel,Belel,Africa/Douala,UTC +1.0,7.06241901498577,14.4017928374618
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Martap,Martap,Africa/Douala,UTC +1.0,7.16958212667134,13.2323948640359
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Mbé,Mbé,Africa/Douala,UTC +1.0,7.77814113873258,13.562702631324
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Nganha,Nganha,Africa/Douala,UTC +1.0,7.45598973505623,13.9549453237791
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Ngaoundéré 1,Ngaoundéré 1,Africa/Douala,UTC +1.0,7.29941093924539,13.6018284991298
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Ngaoundéré 2,Ngaoundéré 2,Africa/Douala,UTC +1.0,7.40247594314325,13.770810563945
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Ngaoundéré 3,Ngaoundéré 3,Africa/Douala,UTC +1.0,7.50023843391533,13.6294022568817
Cameroon,Cameroon,CM,,Adamaoua,Adamaoua,Vina,Vina,Nyambaka,Nyambaka,Africa/Douala,UTC +1.0,6.94913049219292,13.8405786222517
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Bibé,Bibé,Africa/Douala,UTC +1.0,4.84465872180985,12.8595755915765
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Lembé Yézoum,Lembé Yézoum,Africa/Douala,UTC +1.0,4.2828837953887,12.2018596770004
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Mbandjock,Mbandjock,Africa/Douala,UTC +1.0,4.4452623741696,11.8935135489563
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Minta,Minta,Africa/Douala,UTC +1.0,4.68656995530355,13.0025853727918
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Nanga Eboko,Nanga Eboko,Africa/Douala,UTC +1.0,4.76796341943195,12.4825778049014
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Nkoteng,Nkoteng,Africa/Douala,UTC +1.0,4.51418268029575,12.1821030979269
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Nsem,Nsem,Africa/Douala,UTC +1.0,5.04386258938609,12.8988228654545
Cameroon,Cameroon,CM,,Centre,Centre,Haute Sanaga,Haute Sanaga,Nsem,Nsem,Africa/Douala,UTC +1.0,5.27200304200535,12.7810561304094
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Batchenga,Batchenga,Africa/Douala,UTC +1.0,4.27866814909482,11.6477560720307
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Ebebda,Ebebda,Africa/Douala,UTC +1.0,4.29395357785017,11.3112752182499
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Elig Mfomo,Elig Mfomo,Africa/Douala,UTC +1.0,4.16490361602109,11.3196476066372
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Evodoula,Evodoula,Africa/Douala,UTC +1.0,4.12047197790243,11.1980693237214
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Lobo,Lobo,Africa/Douala,UTC +1.0,3.88396949595169,11.2429103956456
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Monatelé,Monatelé,Africa/Douala,UTC +1.0,4.22546961893923,11.2358993763922
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Obala,Obala,Africa/Douala,UTC +1.0,4.1306713407353,11.4958574302462
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Okola,Okola,Africa/Douala,UTC +1.0,4.00241100735823,11.3412719511573
Cameroon,Cameroon,CM,,Centre,Centre,Lekié,Lekié,Sa'a,Sa'a,Africa/Douala,UTC +1.0,4.35548703397071,11.4457662718938
Cameroon,Cameroon,CM,,Centre,Centre,Mbam et Inoubou,Mbam et Inoubou,Bafia,Bafia,Africa/Douala,UTC +1.0,4.76192986155935,11.2381650302461
Cameroon,Cameroon,CM,,Centre,Centre,Mbam et Inoubou,Mbam et Inoubou,Bokito,Bokito,Africa/Douala,UTC +1.0,4.47552219390768,11.1039151499693
Cameroon,Cameroon,CM,,Centre,Centre,Mbam et Inoubou,Mbam et Inoubou,Deuk,Deuk,Africa/Douala,UTC +1.0,5.02729276425248,11.1723617768452
Cameroon,Cameroon,CM,,Centre,Centre,Mbam et Inoubou,Mbam et Inoubou,Kiiki,Kiiki,Africa/Douala,UTC +1.0,4.71355820638749,11.1661812906623
