country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Togo,Togo,TG,,,Centre,,Blitta,,Agbandi,Africa/Lome,UTC+0.0,8.23939194170412,1.17678412806315
Togo,Togo,TG,,,Centre,,Blitta,,Atchintse,Africa/Lome,UTC+0.0,7.90145561066673,0.622952608666822
Togo,Togo,TG,,,Centre,,Blitta,,Atchintse,Africa/Lome,UTC+0.0,7.97699523640124,0.672539736562546
Togo,Togo,TG,,,Centre,,Blitta,,Blitta-Gare,Africa/Lome,UTC+0.0,8.33913141210587,0.974820794900251
Togo,Togo,TG,,,Centre,,Blitta,,Blitta Village,Africa/Lome,UTC+0.0,8.32300921333684,1.03471159974996
Togo,Togo,TG,,,Centre,,Blitta,,Diguengue,Africa/Lome,UTC+0.0,8.06719605523482,0.633929908768272
Togo,Togo,TG,,,Centre,,Blitta,,Dikpeleou,Africa/Lome,UTC+0.0,8.18760243775223,0.615389919048837
Togo,Togo,TG,,,Centre,,Blitta,,Doufouli,Africa/Lome,UTC+0.0,8.29824680847668,0.906814625010299
Togo,Togo,TG,,,Centre,,Blitta,,Katchenke,Africa/Lome,UTC+0.0,8.23003677934652,0.717211449684607
Togo,Togo,TG,,,Centre,,Blitta,,Koffiti,Africa/Lome,UTC+0.0,8.02793102590106,1.15065444464632
Togo,Togo,TG,,,Centre,,Blitta,,Langabou,Africa/Lome,UTC+0.0,8.13631804167354,1.15549283112253
Togo,Togo,TG,,,Centre,,Blitta,,M'Poti,Africa/Lome,UTC+0.0,8.30787609870126,0.799931082038906
Togo,Togo,TG,,,Centre,,Blitta,,Pagala Gare,Africa/Lome,UTC+0.0,8.17708144666686,0.991600959930789
Togo,Togo,TG,,,Centre,,Blitta,,Pagala Village,Africa/Lome,UTC+0.0,8.18112919873814,0.895331315107137
Togo,Togo,TG,,,Centre,,Blitta,,Tchaloude,Africa/Lome,UTC+0.0,8.31708790129328,1.15044469549398
Togo,Togo,TG,,,Centre,,Blitta,,Tchare-Baou,Africa/Lome,UTC+0.0,8.05818405760287,1.04940640660095
Togo,Togo,TG,,,Centre,,Blitta,,Tchifama,Africa/Lome,UTC+0.0,8.17838776971509,0.820368260106165
Togo,Togo,TG,,,Centre,,Blitta,,Tintchro,Africa/Lome,UTC+0.0,8.04653331907781,0.775253246795182
Togo,Togo,TG,,,Centre,,Blitta,,Waragni,Africa/Lome,UTC+0.0,8.25030093262791,1.0107271503093
Togo,Togo,TG,,,Centre,,Blitta,,Welly,Africa/Lome,UTC+0.0,8.04580181197844,0.924164381934285
Togo,Togo,TG,,,Centre,,Blitta,,Yaloumbe,Africa/Lome,UTC+0.0,8.33446191162204,1.09160710750131
Togo,Togo,TG,,,Centre,,Blitta,,Yegue,Africa/Lome,UTC+0.0,8.15768087012507,0.678424899647795
Togo,Togo,TG,,,Centre,,Mô,,Boulohou,Africa/Lome,UTC+0.0,8.68299064563428,0.670585037177924
Togo,Togo,TG,,,Centre,,Mô,,Djarkpanga,Africa/Lome,UTC+0.0,8.7740784930867,0.535448197112577
Togo,Togo,TG,,,Centre,,Mô,,Kagnigbara,Africa/Lome,UTC+0.0,8.89326272312525,0.662869726958505
