country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adjumani Tc,,Biyaya,Africa/Kampala,UTC +3.0 ,3.38362691498219,31.8023579556852
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adjumani Tc,,Central,Africa/Kampala,UTC +3.0 ,3.37213715158206,31.7914365141546
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adjumani Tc,,Cesia,Africa/Kampala,UTC +3.0 ,3.377606869979,31.7756079708004
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Esia,Africa/Kampala,UTC +3.0 ,3.28220335790945,31.7283031908534
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Jihwa,Africa/Kampala,UTC +3.0 ,3.48238976756564,31.7542201082145
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Lajopi,Africa/Kampala,UTC +3.0 ,3.39269892297908,31.7623719427651
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Lajopi,Africa/Kampala,UTC +3.0 ,3.40742623299565,31.8075001488878
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Marindi,Africa/Kampala,UTC +3.0 ,3.42969368173802,31.799468078757
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Omi,Africa/Kampala,UTC +3.0 ,3.49345042955753,31.8189406778474
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Adropi,,Openzinzi,Africa/Kampala,UTC +3.0 ,3.34065651765457,31.7509497566676
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Gulinya,Africa/Kampala,UTC +3.0 ,3.30392455664147,31.6399596553381
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Kiraba,Africa/Kampala,UTC +3.0 ,3.28673677779348,31.6890117453474
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Loa,Africa/Kampala,UTC +3.0 ,3.40482690804365,31.6789349493147
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Maaji,Africa/Kampala,UTC +3.0 ,3.07690929717258,31.5558394076039
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Mugi,Africa/Kampala,UTC +3.0 ,3.4073234651477,31.7239477203702
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Okangali,Africa/Kampala,UTC +3.0 ,3.34920690680026,31.6625189977435
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Ciforo,,Opejo,Africa/Kampala,UTC +3.0 ,3.43495394319224,31.6921878972066
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Ajugopi,Africa/Kampala,UTC +3.0 ,3.43581246575352,31.917973305441
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Arinyapi,Africa/Kampala,UTC +3.0 ,3.46291311640442,32.0009556541892
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Elegu,Africa/Kampala,UTC +3.0 ,3.53642226671268,32.0306220117032
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Liri,Africa/Kampala,UTC +3.0 ,3.52462461098202,31.966538292911
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Logoangwa,Africa/Kampala,UTC +3.0 ,3.35541963138534,32.0085736563363
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Mgbwere,Africa/Kampala,UTC +3.0 ,3.33345822700862,31.9662974344928
Uganda,Uganda,UG,,,Adjumani,,East Moyo,,Dzaipi,,Miniki,Africa/Kampala,UTC +3.0 ,3.48986161095193,31.8855230069232
