"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Abu Al Abyad","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Abu Dhabi Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Airport District","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Falah","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Jubail Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Meena","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Raha","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Rahba","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Reef","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Reem","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Shahama","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Suwwah","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Al Weheil Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Bairimayd Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Balghelam Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Ban Al Jesrain","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Bani Yas","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Capital District","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Central Business District","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Desert Villages","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Ghantoot","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Grand Mosque District","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Hudayriat Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Inner Islands","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Khalifa City A","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Khalifa City B","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Lulu Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Mafraq","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Marina Village","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Mohamed Bin Zayet City","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Musaffah","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","New Port City","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Ramhan Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Ras Ghurab Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Saadiyat Island","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Shamkhah","","","","","","","Asia/Dubai","+04.00"
"AE","الإمارات العربية المتحدة","United Arab Emirates","إمارة أبوظبي","Abu Dhabi","أبو ظبي","Abu Dhabi","","Sir Abu Nu'Ayr","","","","","","","Asia/Dubai","+04.00"
