"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"AR","Argentina","Argentina","Jujuy","Jujuy","San Pedro","","Rosario de Río Grande","","Piedritas","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Río Cuarto","","Malena","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Jujuy","Jujuy","Yavi","","Pumahuasi","","Mina Bélgica","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Mendoza","Mendoza","Cuyo","","Luján de Cuyo","","El Carrizal","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Corrientes","Corrientes","Empedrado","","El Sombrero","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Río Negro","Río Negro","General Roca","","Allen","","Barrio la Herradura","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Mendoza","Mendoza","Santa Rosa","","Santa Rosa","","Barrio María Auxiliadora","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Salta","Salta","Metán","","El Galpón","","El Galpón","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Chubut","Chubut","Cushamen","","Epuyén","","Epuyén","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Corrientes","Corrientes","General Paz","","Itá Ibaté","","Itá Ibaté","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Concordia","","Colonia Ayui","","Colonia Ayui","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Jujuy","Jujuy","San Antonio","","San Antonio","","Barrio Loma Hermosa","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Corrientes","Corrientes","Esquina","","Esquina","","Esquina","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Río Negro","Río Negro","Avellaneda","","Coronel Belisle","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Tala","","Gobernador Echagüe","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","La Paz","","San Gustavo","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","La Capital","","Arroyo Leyes","","Rincón Potrero","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Rosario","","Carmen del Sauce","","Cuatro Esquinas","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","Mar Chiquita","","Mar Chiquita","","Coronel Vidal","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Río Negro","Río Negro","9 de Julio","","Prahuaniyeu","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Tucumán","Tucumán","Río Chico","","El Polear","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","La Rioja","La Rioja","Independencia","","Independencia","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Uruguay","","Primero de Mayo","","Primero de Mayo","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Río Cuarto","","Malena","","Malena","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Tucumán","Tucumán","La Cocha","","El Sacrificio","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Las Colonias","","Pilar","","Pilar","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Diamante","","Aldea Grapschental","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Paraná","","Hasenkamp","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","San Isidro","","San Isidro","","Villa Adelina - San Isidro","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Colón","","La Calera","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Río Cuarto","","Alpa Corral","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Iriondo","","Serodino","","Serodino","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Río Primero","","Obispo Trejo","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Chaco","Chaco","General Güemes","","Fuerte Esperanza","","Comandancia Frías","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","Villarino","","Villarino","","Laguna la Salada","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","San Justo","","Marull","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Catamarca","Catamarca","Ancasti","","Ancasti","","La Majada","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Jujuy","Jujuy","Tilcara","","Huacalera","","Colonia San José","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","Saladillo","","Saladillo","","Álvarez de Toledo","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Marcos Juárez","","Colonia Barge","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Misiones","Misiones","25 de Mayo","","Colonia Aurora","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","San Cristóbal","","San Cristóbal","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Salta","Salta","Anta","","El Quebrachal","","Gaona","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Constitución","","Godoy","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Tucumán","Tucumán","Yerba Buena","","Cevil Redondo","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Vera","","Margarita","","Margarita","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","San Justo","","Devoto","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Catamarca","Catamarca","Valle Viejo","","Valle Viejo","","Las Tejas","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Misiones","Misiones","San Javier","","Florentino Ameghino","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Salta","Salta","General José de San Martín","","Tartagal","","Pacará","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Jujuy","Jujuy","Susques","","Susques","","Mina Providencia","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Chaco","Chaco","Presidencia de la Plaza","","Presidencia de la Plaza","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Catamarca","Catamarca","Tinogasta","","Tinogasta","","Costa de Reyes","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","9 de Julio","","9 de Julio","","Manuel B. Gonnet","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","Río Segundo","","Carrilobo","","Carrilobo","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Gualeguaychú","","Pastor Britos","","Pastor Britos","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Provincia de Buenos Aires","Buenos Aires Province","Bahía Blanca","","Bahía Blanca","","Cabildo","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","San Jerónimo","","Maciel","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Río Negro","Río Negro","General Roca","","Chichinales","","Chichinales","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santiago del Estero","Santiago del Estero","Capital","","Santa María","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Entre Ríos","Entre Ríos","Villaguay","","Paso de La Laguna","","Paso de La Laguna","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Chaco","Chaco","San Fernando","","Barranqueras","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Formosa","Formosa","Pilagás","","Misión Taacaglé","","Misión Taacaglé","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Jujuy","Jujuy","El Carmen","","Perico","","Malvinas Argentinas","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Misiones","Misiones","Libertador General San Martín","","Ruíz de Montoya","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Córdoba","Córdoba","San Javier","","San Javier","","","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Santa Fe","Santa Fe","Castellanos","","Frontera","","Villa Josefina","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","San Juan","San Juan","Jachal","","Jachal","","Niquivil","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","San Luis","San Luis","Chacabuco","","Renca","","Renca","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Neuquén","Neuquén","Confluencia","","Senillosa","","Senillosa","","","","","","America/Argentina/Buenos_Aires","-03.00"
"AR","Argentina","Argentina","Río Negro","Río Negro","9 de Julio","","Ministro Ramos Mexía","","Ministro Ramos Mexía","","","","","","America/Argentina/Buenos_Aires","-03.00"
