"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","3. Bezirk Landstraße","3. Bezirk Landstraße","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","1. Bezirk Innere Stadt","Vienna City Centre","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","2. Bezirk Leopoldstadt","2. Bezirk Leopoldstadt","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","4. Bezirk Wieden","4. Bezirk Wieden","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","5. Bezirk Margareten","5. Bezirk Margareten","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","6. Bezirk Mariahilf","6. Bezirk Mariahilf","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","7. Bezirk Neubau","7. Bezirk Neubau","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","8. Bezirk Josefstadt","8. Bezirk Josefstadt","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","9. Bezirk Alsergrund","9. Bezirk Alsergrund","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","10. Bezirk Favoriten","10. Bezirk Favoriten","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","11. Bezirk Simmering","11. Bezirk Simmering","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","12. Bezirk Meidling","12. Bezirk Meidling","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","13. Bezirk Hietzing","13. Bezirk Hietzing","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","14. Bezirk Penzing","14. Bezirk Penzing","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","15. Bezirk Rudolfsheim-Fünfhaus","15. Bezirk Rudolfsheim-Fünfhaus","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","16. Bezirk Ottakring","16. Bezirk Ottakring","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","17. Bezirk Hernals","17. Bezirk Hernals","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","18. Bezirk Währing","18. Bezirk Währing","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","19. Bezirk Döbling","19. Bezirk Döbling","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","20. Bezirk Brigittenau","20. Bezirk Brigittenau","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","21. Bezirk Floridsdorf","21. Bezirk Floridsdorf","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","22. Bezirk Donaustadt","22. Bezirk Donaustadt","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Wien","Vienna","Wien","Vienna","Wien","Vienna","23. Bezirk Liesing","23. Bezirk Liesing","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Bruck an der Leitha","Bruck an der Leitha","Schwechat","Schwechat","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Korneuburg","Korneuburg","Stockerau","Stockerau","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Korneuburg","Korneuburg","Großmugl","Großmugl","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Korneuburg","Korneuburg","Leitzersdorf","Leitzersdorf","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Korneuburg","Korneuburg","Niederhollabrunn","Niederhollabrunn","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Korneuburg","Korneuburg","Sierndorf","Sierndorf","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Hollabrunn","Hollabrunn","Göllersdorf","Göllersdorf","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Hollabrunn","Hollabrunn","Hollabrunn","Hollabrunn","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Hollabrunn","Hollabrunn","Wullersdorf","Wullersdorf","","","","","","","Europe/Vienna","+02.00"
"AT","Österreich","Austria","Niederösterreich","Lower Austria","Hollabrunn","Hollabrunn","Nappersdorf-Kammersdorf","Nappersdorf-Kammersdorf","","","","","","","Europe/Vienna","+02.00"
