"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Acton","Acton","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Ainslie","Ainslie","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Amaroo","Amaroo","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Aranda","Aranda","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Banks","Banks","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Barton","Barton","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Beard","Beard","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Belconnen","Belconnen","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Belconnen District","Belconnen District","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Bonner","Bonner","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Bonython","Bonython","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Booth","Booth","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Braddon","Braddon","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Bruce","Bruce","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Calwell","Calwell","","","","","Australia – Eastern Standard Time","+10.00"
"AU","Australia","Australia","Australian Capital Territory","Australian Capital Territory","Canberra","Canberra","Canberra","Canberra","Campbell","Campbell","","","","","Australia – Eastern Standard Time","+10.00"
