"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Brussel","Brussels","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Schaarbeek","Schaerbeek","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Etterbeek","Etterbeek","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Sint-Joost-ten-Node","Sint-Joost-ten-Node","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Elsene","Elsene","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Sint-Gillis","Sint-Gillis","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Anderlecht","Anderlecht","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Sint-Jans-Molenbeek","Sint-Jans-Molenbeek","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Koekelberg","Koekelberg","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Sint-Agatha-Berchem","Sint-Agatha-Berchem","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Ganshoren","Ganshoren","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Jette","Jette","","","","","Europe/Brussels","+02.00"
"BE","België","Belgium","Brussel Hoofdstedelijk Gewest","Brussels-Capital Region","","","Brussel Hoofdstad","Brussels","Evere","Evere","","","","","Europe/Brussels","+02.00"
