"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Банско","Bansko","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Гостун","Gostun","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Добринище","Dobrinishhe","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Кремен","Kremen","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Места","Mesta","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Обидим","Obidim","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Осеново","Osenovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Банско","Bansko","Филипово","Filipovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Бабяк","Babjak","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Белица","Belica","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Горно Краище","Gorno Kraishhe","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Гълъбово","Gulubovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Дагоново","Dagonovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Златарица","Zlatarica","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Краище","Kraishhe","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Кузьово","Kuz'ovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Лютово","Ljutovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Орцево","Orcevo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Белица","Belica","Черешово","Chereshovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Бело поле","Belo pole","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Бистрица","Bistrica","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Бучино","Buchino","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Българчево","Bulgarchevo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Габрово","Gabrovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Горно Хърсово","Gorno Khursovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Дебочица","Debochica","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Делвино","Delvino","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Дренково","Drenkovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Дъбрава","Dubrava","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Еленово","Elenovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Зелендол","Zelendol","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Изгрев","Izgrev","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Клисура","Klisura","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Лешко","Leshko","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Лисия","Lisija","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Логодаж","Logodazh","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Марулево","Marulevo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Мощанец","Moshhanec","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Обел","Obel","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Падеш","Padesh","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Покровник","Pokrovnik","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Рилци","Rilci","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Селище","Selishhe","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Благоевград","Blagoevgrad","Церово","Cerovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Баничан","Banichan","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Борово","Borovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Брезница","Breznica","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Буково","Bukovo","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Господинци","Gospodinci","","","","","","","Europe/Sofia","+02.00"
"BG","България","Bulgaria","Благоевград","Blagoevgrad","Гоце Делчев","Goce Delchev","Гоце Делчев","Goce Delchev","","","","","","","Europe/Sofia","+02.00"
