"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Bisut","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Bukit Kandol","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Bukit Sawat","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Merangking","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Merangking Hilir","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Merangking Ulu","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Pangkalan Siong","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Pulau Apil","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Sungai Mau","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Bukit Sawat","","Kampung Tarap","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Balai","","Kampung Kajitan","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Balai","","Kampung Sungai Balai","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Balai","","Kampung Sungai Damit","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Balai","","Kampung Tugong","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Mumong A","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Mumong B","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Pandan A","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Pandan B","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Pandan C","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Sungai Melilit","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Kampung Sungai Teraban","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Kuala Belait","","Pekan Kuala Belait","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Bukit Puan","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Gatas","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Kenapol","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Labi","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Labi Lama","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Mendaram Kecil","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Rampayoh","","","","","","","Asia/Brunei","+08.00"
"BN","","Brunei","","Belait","","Labi","","Kampung Ratan","","","","","","","Asia/Brunei","+08.00"
