"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BO","Bolivia","Bolivia","Beni","Beni","Cercado","Cercado","SanJavier","SanJavier","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Cercado","Cercado","Trinidad","Trinidad","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","GeneralJoséBallivián","GeneralJoséBallivián","PuertoMenordeRurrenabaque","PuertoMenordeRurrenabaque","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","GeneralJoséBallivián","GeneralJoséBallivián","Reyes","Reyes","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","GeneralJoséBallivián","GeneralJoséBallivián","SanBorja","SanBorja","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","GeneralJoséBallivián","GeneralJoséBallivián","SantaRosa","SantaRosa","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Iténez","Iténez","Baures","Baures","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Iténez","Iténez","Huacaraje","Huacaraje","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Iténez","Iténez","Magdalena","Magdalena","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Mamoré","Mamoré","PuertoSiles","PuertoSiles","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Mamoré","Mamoré","SanJoaquín","SanJoaquín","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Mamoré","Mamoré","SanRamón","SanRamón","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Marbán","Marbán","Loreto","Loreto","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Marbán","Marbán","SanAndrés","SanAndrés","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Moxos","Moxos","SanIgnacio","SanIgnacio","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","VacaDiez","VacaDiez","Guayaramerín","Guayaramerín","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","VacaDiez","VacaDiez","Riberalta","Riberalta","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Yacuma","Yacuma","Exaltación","Exaltación","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Beni","Beni","Yacuma","Yacuma","SantaAna","SantaAna","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Azurduy","Azurduy","Azurduy","Azurduy","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Azurduy","Azurduy","Tarvita","Tarvita","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","BelisarioBoeto","BelisarioBoeto","VillaSerrano","VillaSerrano","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","HernandoSiles","HernandoSiles","Huacareta","Huacareta","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","HernandoSiles","HernandoSiles","Monteagudo","Monteagudo","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","LuisCalvo","LuisCalvo","Huacaya","Huacaya","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","LuisCalvo","LuisCalvo","Macharetí","Macharetí","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","LuisCalvo","LuisCalvo","VillaVacaGuzmán","VillaVacaGuzmán","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","NorCinti","NorCinti","Camargo","Camargo","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","NorCinti","NorCinti","Incahuasi","Incahuasi","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","NorCinti","NorCinti","SanLucas","SanLucas","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","NorCinti","NorCinti","VillaCharcas","VillaCharcas","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Oropeza","Oropeza","Poroma","Poroma","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Oropeza","Oropeza","Sucre","Sucre","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Oropeza","Oropeza","Yotala","Yotala","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","SurCinti","SurCinti","Culpina","Culpina","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","SurCinti","SurCinti","LasCarreras","LasCarreras","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","SurCinti","SurCinti","VillaAbecia","VillaAbecia","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Tomina","Tomina","Alcalá","Alcalá","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Tomina","Tomina","ElVillar","ElVillar","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Tomina","Tomina","Padilla","Padilla","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Tomina","Tomina","Sopachui","Sopachui","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Tomina","Tomina","Tomina","Tomina","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Yamparáez","Yamparáez","Tarabuco","Tarabuco","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Yamparáez","Yamparáez","Yamparáez","Yamparáez","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Zudáñez","Zudáñez","Mojocoya","Mojocoya","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Zudáñez","Zudáñez","Presto","Presto","","","","","","","America/La_Paz","-04.00"
"BO","Bolivia","Bolivia","Chuquisaca","Chuquisaca","Zudáñez","Zudáñez","VillaRicardoMugia-Icla","VillaRicardoMugia-Icla","","","","","","","America/La_Paz","-04.00"
