"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Taubaté","","Vila Nossa Senhora das Graças","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Maranhão","Maranhão","Satubinha","","","","","","","","","","America/Fortaleza","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","São Bernardo do Campo","","Ferrazópolis","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Santa Catarina","Santa Catarina","Blumenau","","Fortaleza Alta","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Mato Grosso","Mato Grosso","Sinop","","Jardim Imperial","","","","","","","","America/Cuiaba","-04.00"
"BR","Brasil","Brazil","Espírito Santo","Espírito Santo","Aracruz","","Praia Formosa","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Espírito Santo","Espírito Santo","Cachoeiro de Itapemirim","","Independência","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Americana","","Jardim Nossa Senhora do Carmo","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Goiás","Goiás","Santo Antônio da Barra","","","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Ibirubá","","Unida","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Minas Gerais","Minas Gerais","Coronel Fabriciano","","Nova Tijuca","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Ceará","Ceará","Missão Velha","","Antonio Luiz","","","","","","","","America/Fortaleza","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Valinhos","","Vila Bissoto","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Goiás","Goiás","Goiânia","Goiania","Goiá 2 Complemento","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Campina das Missões","","Floresta","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rondônia","Rondônia","Ouro Preto do Oeste","","Industrial","","","","","","","","America/Porto_Velho","-04.00"
"BR","Brasil","Brazil","Paraná","Paraná","Pinhalão","","","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Campinas","","Jardim Uruguai","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Anhembi","","Pirambóia","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Paraná","Paraná","Assaí","","","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Bahia","Bahia","Itabuna","","Fonseca","","","","","","","","America/Bahia","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Ribeirão Preto","","Subsetor Oeste Sete","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Poá","","Jardim Medina","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Mauá","","Jardim Maringá","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Passo Fundo","","Loteamento Santa Antônio","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Cosmópolis","","Núcleo Habitacional Vila Nova","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Espírito Santo","Espírito Santo","Vila Velha","","Morobá","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Maranhão","Maranhão","Santa Luzia do Paruá","","","","","","","","","","America/Fortaleza","-03.00"
"BR","Brasil","Brazil","Rio de Janeiro","Rio de Janeiro","Angra dos Reis","Angra dos Reis","Praia do Recife","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Cruz Alta","","Conceição","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rondônia","Rondônia","São Francisco do Guaporé","","","","","","","","","","America/Porto_Velho","-04.00"
"BR","Brasil","Brazil","Minas Gerais","Minas Gerais","Belo Horizonte","Belo Horizonte","Campo Alegre","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Canguçu","","Dos Teixeiras","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Rio Grande do Sul","Rio Grande do Sul","Passo Fundo","","Bairro São José","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Minas Gerais","Minas Gerais","Juiz de Fora","","Bom Clima","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","São Paulo","Sao Paulo","Tatuí","","Village Engenheiro Campos","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Minas Gerais","Minas Gerais","Belo Horizonte","Belo Horizonte","Vila PUC","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Mato Grosso","Mato Grosso","Paranatinga","","Novo Horizonte","","","","","","","","America/Cuiaba","-04.00"
"BR","Brasil","Brazil","Paraná","Paraná","Cândido de Abreu","","","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Roraima","Roraima","Boa Vista","Boa Vista","Canarinho","","","","","","","","America/Boa_Vista","-04.00"
"BR","Brasil","Brazil","Rio de Janeiro","Rio de Janeiro","Itaguaí","Itaguaí","Chapero","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Espírito Santo","Espírito Santo","Serra","","Praia da Baleia","","","","","","","","America/Sao_Paulo","-03.00"
"BR","Brasil","Brazil","Pará","Pará","Conceição do Araguaia","","Vila Nova","","","","","","","","America/Belem","-03.00"
