"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"BY","Belarus","Belarus","","Brest","","Baranovichi","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Bereza","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Brest","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Drogichin","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Gancevichi","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Ivacevichi","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Ivanovo","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Kamenec","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Kobrin","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Ljahovichi","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Luninec","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Malorita","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Pinsk","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Pruzhany","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Stolin","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Brest","","Zhabinka","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Bragin","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Buda-Koshelevo","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Chechersk","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Dobrush","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Elsk","","","","","","","","","Europe/Minsk","+03.00"
"BY","Belarus","Belarus","","Gomel","","Gomel","","","","","","","","","Europe/Minsk","+03.00"
