"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Bow Island","Bow Island","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Burdett","Burdett","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Cypress County","Cypress County","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Foremost","Foremost","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Forty Mile County No. 8","Forty Mile County No. 8","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Medicine Hat","Medicine Hat","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 1","Division No. 1","Redcliff","Redcliff","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Andrew","Andrew","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Bashaw","Bashaw","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Bawlf","Bawlf","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Beaver County","Beaver County","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Bittern Lake","Bittern Lake","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Bruderheim","Bruderheim","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Camrose","Camrose","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Camrose County No. 22","Camrose County No. 22","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Chipman","Chipman","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Derwent","Derwent","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Dewberry","Dewberry","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Edberg","Edberg","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Ferintosh","Ferintosh","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Hay Lakes","Hay Lakes","","","","","","","America/Edmonton","-07.00"
"CA","Canada","Canada","Alberta","Alberta","Division No. 10","Division No. 10","Holden","Holden","","","","","","","America/Edmonton","-07.00"
