"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Aketi","Aketi","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Aketi (ville)","Aketi (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Ango","Ango","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Bambesa","Bambesa","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Bondo","Bondo","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Bondo (ville)","Bondo (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Buta","Buta","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Buta (ville)","Buta (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Dingila","Dingila","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Bas-Uele","Bas-Uele","Poko","Poko","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Kambove","Kambove","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Kasenga","Kasenga","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Kipushi","Kipushi","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Kipushi (ville)","Kipushi (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Likasi","Likasi","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Lubumbashi","Lubumbashi","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Mitwaba","Mitwaba","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Pweto","Pweto","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Katanga","Haut-Katanga","Sakania","Sakania","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Bukama","Bukama","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Kabongo","Kabongo","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Kamina","Kamina","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Kamina (ville)","Kamina (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Kaniama","Kaniama","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Lomami","Haut-Lomami","Malemba-Nkulu","Malemba-Nkulu","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Uele","Haut-Uele","Aba","Aba","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Uele","Haut-Uele","Dungu","Dungu","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Uele","Haut-Uele","Dungu (ville)","Dungu (ville)","","","","","","","","","Africa/Lubumbashi","+02.00"
"CD","Democratic Republic of the Congo","Democratic Republic of the Congo","Haut-Uele","Haut-Uele","Faradje","Faradje","","","","","","","","","Africa/Lubumbashi","+02.00"
