"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CG","République du Congo","Republic of the Congo","Nkéni-Alima","Nkéni-Alima","Abala","Abala","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Nkéni-Alima","Nkéni-Alima","Allembe","Allembe","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Lékoumou","Lékoumou","Bambama","Bambama","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Banba","Banba","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Betou","Betou","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Boko","Boko","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Bouenza","Bouenza","Boko-Songho","Boko-Songho","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Bouanila","Bouanila","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Cuvette","Cuvette","Boundji","Boundji","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Brazzaville","Brazzaville","Brazzaville","Brazzaville","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Divenie","Divenie","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Plateaux","Plateaux","Djambala","Djambala","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Dongou","Dongou","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Enyelle","Enyelle","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Epena","Epena","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Cuvette-Ouest","Cuvette-Ouest","Etoumbi","Etoumbi","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Cuvette-Ouest","Cuvette-Ouest","Ewo","Ewo","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Nkéni-Alima","Nkéni-Alima","Gamboma","Gamboma","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Goma-Tsetse","Goma-Tsetse","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Kouilou","Kouilou","Hinda","Hinda","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Djoué-Léfini","Djoué-Léfini","Ignie","Ignie","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Likouala","Likouala","Impfondo","Impfondo","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Kouilou","Kouilou","Kakameoka","Kakameoka","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Cuvette-Ouest","Cuvette-Ouest","Kelle","Kelle","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Kibangou","Kibangou","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Djoué-Léfini","Djoué-Léfini","Kimba","Kimba","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Kimongo","Kimongo","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Kindamba","Kindamba","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Bouenza","Bouenza","Kingoue","Kingoue","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Kinkala","Kinkala","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Lékoumou","Lékoumou","Komono","Komono","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Plateaux","Plateaux","Lekana","Lekana","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Congo-Oubangui","Congo-Oubangui","Liranga","Liranga","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Londela-Kayes","Londela-Kayes","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Bouenza","Bouenza","Loudima","Loudima","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Louingui","Louingui","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Congo-Oubangui","Congo-Oubangui","Loukolela","Loukolela","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Pool","Pool","Loumo","Loumo","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Louvakou","Louvakou","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Bouenza","Bouenza","Mabombo","Mabombo","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Kouilou","Kouilou","Madingo-Kayes","Madingo-Kayes","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Bouenza","Bouenza","Madingou","Madingou","","","","","","","","","Africa/Brazzaville","+01.00"
"CG","République du Congo","Republic of the Congo","Niari","Niari","Makabana","Makabana","","","","","","","","","Africa/Brazzaville","+01.00"
