"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Aeschlen b. Oberdiessbach","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Albligen","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Allmendingen b. Bern","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Arni BE","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Ballmoos","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Belp","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Belpberg","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 13","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 14","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 15","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 16","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 22","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 31","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 5","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 6","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 60 UPD","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 65","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 65 SBB","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 8","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 9","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern 94","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern PF OC","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern PF Operations Center","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern PostFinance","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern Swisscom","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern UBS","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern Verarb.zentr.","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bern Verarbeitungszentrum","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Biberen","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bigenthal","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Biglen","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bleiken b. Oberdiessbach","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Boll","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bolligen","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bowil","","","","","","","Europe/Zurich","+01.00"
"CH","","Switzerland","","Canton de Berne","","Bern-Mittelland District","","Bremgarten b. Bern","","","","","","","Europe/Zurich","+01.00"
