"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CL","","Chile","","Región Aysén","","Provincia Capitán Prat","","Cochrane","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia Capitán Prat","","O’Higgins","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia Capitán Prat","","Tortel","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia General Carrera","","Chile Chico","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia General Carrera","","Río Ibanez","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia de Aisén","","Aysén","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia de Aisén","","Cisnes","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia de Aisén","","Guaitecas","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia de Coyhaique","","Coyhaique","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Aysén","","Provincia de Coyhaique","","Lago Verde","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Chacabuco","","Colina","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Chacabuco","","Lampa","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Chacabuco","","Tiltil","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Cordillera","","Pirque","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Cordillera","","Puente Alto","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Cordillera","","San Jose De Maipo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Maipo","","Buin","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Maipo","","Calera De Tango","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Maipo","","Paine","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Maipo","","San Bernardo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Melipilla","","Alhue","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Melipilla","","Curacaví","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Melipilla","","María Pinto","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Melipilla","","Melipilla","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Melipilla","","San Pedro","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Cerrillos","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Cerro Navia","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Conchalí","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","El Bosque","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Estación Central","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Huechuraba","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Independencia","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","La Cisterna","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","La Florida","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","La Granja","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","La Pintana","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","La Reina","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Las Condes","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Lo Barnechea","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Lo Espejo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Lo Prado","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Macul","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Maipu","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Pedro Aguirre Cerda","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Penalolén","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Providencia","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Pudahuel","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Quilicura","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Quinta Normal","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Recoleta","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Renca","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","San Joaquín","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","San Miguel","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","San Ramón","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Santiago","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Vitacura","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Santiago","","Ñuñoa","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Talagante","","El Monte","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Talagante","","Isla De Maipo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Talagante","","Padre Hurtado","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Talagante","","Peñaflor","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región Metropolitana","","Provincia de Talagante","","Talagante","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Antofagasta","","Antofagasta","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Antofagasta","","Mejillones","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Antofagasta","","Sierra Gorda","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Antofagasta","","Taltal","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de El Loa","","Calama","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de El Loa","","Ollague","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de El Loa","","San Pedro De Atacama","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Tocopilla","","María Elena","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Antofagasta","","Provincia de Tocopilla","","Tocopilla","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Arica y Parinacota","","Provincia de Arica","","Arica","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Arica y Parinacota","","Provincia de Arica","","Camarones","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Arica y Parinacota","","Provincia de Parinacota","","General Lagos","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Arica y Parinacota","","Provincia de Parinacota","","Putre","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Chañaral","","Chañaral","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Chañaral","","Diego De Almagro","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Copiapó","","Caldera","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Copiapó","","Copiapó","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Copiapó","","Tierra Amarilla","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Huasco","","Alto Del Carmen","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Huasco","","Freirina","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Huasco","","Huasco","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Atacama","","Provincia de Huasco","","Vallenar","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Choapa","","Canela","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Choapa","","Illapel","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Choapa","","Los Vilos","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Choapa","","Salamanca","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","Andacollo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","Coquimbo","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","La Higuera","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","La Serena","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","Paiguano","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Elqui","","Vicuña","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Limarí","","Combarbalá","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Limarí","","Monte Patria","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Limarí","","Ovalle","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Limarí","","Punitaqui","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Coquimbo","","Provincia de Limarí","","Río Hurtado","","","","","","","America/Santiago","-03.00"
"CL","","Chile","","Región de Magallanes y Antártica Chilena","","Provincia Antártica Chilena","","Antártica","","","","","","","America/Santiago","-03.00"
