"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Djerem","Djerem","Ngaoundal","Ngaoundal","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Djerem","Djerem","Tibati","Tibati","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Faro et Déo","Faro et Déo","Galim Tignère","Galim Tignère","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Faro et Déo","Faro et Déo","Mayo Baléo","Mayo Baléo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Faro et Déo","Faro et Déo","Tignère","Tignère","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mayo Banyo","Mayo Banyo","Bankim","Bankim","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mayo Banyo","Mayo Banyo","Banyo","Banyo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mayo Banyo","Mayo Banyo","Mayo Darlé","Mayo Darlé","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mbéré","Mbéré","Dir","Dir","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mbéré","Mbéré","Djohong","Djohong","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Mbéré","Mbéré","Meiganga","Meiganga","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Belel","Belel","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Martap","Martap","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Mbé","Mbé","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Nganha","Nganha","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Ngaoundéré 1","Ngaoundéré 1","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Ngaoundéré 2","Ngaoundéré 2","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Ngaoundéré 3","Ngaoundéré 3","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Adamaoua","Adamaoua","Vina","Vina","Nyambaka","Nyambaka","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Bibé","Bibé","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Lembé Yézoum","Lembé Yézoum","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Mbandjock","Mbandjock","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Minta","Minta","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Nanga Eboko","Nanga Eboko","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Nkoteng","Nkoteng","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Haute Sanaga","Haute Sanaga","Nsem","Nsem","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Batchenga","Batchenga","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Ebebda","Ebebda","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Elig Mfomo","Elig Mfomo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Evodoula","Evodoula","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Lobo","Lobo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Monatelé","Monatelé","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Obala","Obala","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Okola","Okola","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Lekié","Lekié","Sa'a","Sa'a","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Bafia","Bafia","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Bokito","Bokito","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Deuk","Deuk","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Kiiki","Kiiki","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Kon-Yambetta","Kon-Yambetta","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Makénéné","Makénéné","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Ndikiniméki","Ndikiniméki","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Ntoukou","Ntoukou","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Inoubou","Mbam et Inoubou","Ombessa","Ombessa","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Kim","Mbam et Kim","Mbangassina","Mbangassina","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Kim","Mbam et Kim","Ngambé Tikar","Ngambé Tikar","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Kim","Mbam et Kim","Ngoro","Ngoro","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Kim","Mbam et Kim","Ntui","Ntui","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mbam et Kim","Mbam et Kim","Yoko","Yoko","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Afanloum","Afanloum","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Assamba","Assamba","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Awaé","Awaé","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Edzendouan","Edzendouan","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Esse","Esse","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Mfou","Mfou","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Nlolofamba","Nlolofamba","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Afamba","Mefou et Afamba","Soa","Soa","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Akono","Mefou et Akono","Akono","Akono","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Akono","Mefou et Akono","Bikok","Bikok","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Akono","Mefou et Akono","Mbankomo","Mbankomo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mefou et Akono","Mefou et Akono","Ngoumou","Ngoumou","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 1","Yaoundé 1","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 2","Yaoundé 2","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 3","Yaoundé 3","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 4","Yaoundé 4","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 5","Yaoundé 5","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 6","Yaoundé 6","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Mfoundi","Mfoundi","Yaoundé 7","Yaoundé 7","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Biyouha","Biyouha","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Bondjock","Bondjock","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Bot Makak","Bot Makak","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Dibang","Dibang","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Eséka","Eséka","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Makak","Makak","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Matomb","Matomb","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Messondo","Messondo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Ngog Mapubi","Ngog Mapubi","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Kéllé","Nyong et Kéllé","Nguibassal","Nguibassal","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Mfoumou","Nyong et Mfoumou","Akonolinga","Akonolinga","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Mfoumou","Nyong et Mfoumou","Ayos","Ayos","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Mfoumou","Nyong et Mfoumou","Endom","Endom","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Mfoumou","Nyong et Mfoumou","Mengang","Mengang","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et Mfoumou","Nyong et Mfoumou","Nyakokombo","Nyakokombo","","","","","","","Africa/Douala","+01.00"
"CM","Cameroon","Cameroon","Centre","Centre","Nyong et So'o","Nyong et So'o","Akoéman","Akoéman","","","","","","","Africa/Douala","+01.00"
