"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CO","","Colombia","","Amazonas","","El Encanto","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","La Chorrera","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","La Pedrera","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","La Victoria","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Leticia","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Miriti - Paraná","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Puerto Alegría","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Puerto Arica","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Puerto Nariño","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Puerto Santander","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Amazonas","","Tarapacá","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Abejorral","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Abriaquí","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Alejandría","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Amagá","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Amalfi","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Andes","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Angelópolis","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Angostura","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Anorí","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Anza","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Apartadó","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Arboletes","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Argelia","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Armenia","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Barbosa","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Bello","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Belmira","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Betania","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Betulia","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Briceño","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Buriticá","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Caicedo","","","","","","","","","America/Bogota","-05.00"
"CO","","Colombia","","Antioquia","","Caldas","","","","","","","","","America/Bogota","-05.00"
