"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Παραλίμνι","Paralimni","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Καπλίτσα","Kaplıca","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τουρναλάρ","Turnalar","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αλτινόβα","Altınova","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αρνταχάν","Ardahan","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τατλισού","Tatlısu","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σινιρούστου","Sınırüstü","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Οτουκέν","Ötüken","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπαχτσελέρ","Bahçeler","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κιλιτκαγιά","Kilitkaya","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τουζλούτσα","Tuzluca","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σαζλικόι","Sazlıköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπογιαζίτσι","Boğaziçi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπάφρα","Bafra","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κουρτουλούς","Kurtuluş","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κουζουτσούκ","Kuzucuk","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τσαγίροβα","Çayırova","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γιαρκόι","Yarköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ζεϊμπεκκόι","Zeybekköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπογιάζ","Boğaz","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αγιλάρ","Ağıllar","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Εργαζί","Ergazi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τσιναρλί","Çınarlı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Καλεμπούρνου","Kaleburnu","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κουρουοβά","Kuruova","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σιπάχι","Sipahi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ντιπκαρπάζ","Dipkarpaz","","Διπκάρπαζ II","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Παμουκλού","Pamuklu","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπαλαλάν","Balalan","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αντατσάι","Adaçay","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπολτασλί","Boltaşlı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μπουγιούκκονουκ","Büyükkonuk","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κουμγιαλί","Kumyalı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Εσενκόι","Esenköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μεχμετσίκ","Mehmetçik","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γιεντικονουκ","Yedikonuk","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γκελιντσίκ","Gelincik","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ντεριντσε","Derince","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αφτέπε","Avtepe","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ζιαμέτ","Ziyamet","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γιενί Ερενκιοϊ","Yeni Erenköy","","Ριζοκάρπασο II","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μερσινλίκ","Mersinlik","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Καλετσίκ","Kalecik","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ισκέλε","İskele","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τασλίτσα","Taşlıca","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τιρμέν","Tirmen","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γιλντιρίμ","Yıldırım","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γκετσιτκαλέ","Geçitkale","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τουρουντσλού","Turunçlu","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ινονιού","İnönü","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ιντσιρλί","İncirli","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κοπρουλού","Köprülü","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τσαγιονιού","Çayönü","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Βαντίλι","Vadili","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γιενιμπογιαζιτσί","Yeniboğaziçi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ακντογάν","Akdoğan","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αυγόρου","Avgorou","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Δύζτσε","Düzce","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ντερινκόι","Deryneia","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σωτήρα","Sotira","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Φρέναρος","Frenaros","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αγία Νάπα","Agia Napa","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Λιοπέτρι","Liopetri","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σουτλούτσε","Sütlüce","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γκουβερτζινλίκ","Güvercinlik","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αρινταμί","Arıdamı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τουρκμενκόι","Türkmenköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τσαμλίτσα","Çamlıca","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ατλιλάρ","Atlılar","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Κουρουντέρε","Kurudere","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γκορνέτς","Görneç","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Γκονεντερέ","Gönendere","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Νεργκισλί","Nergizli","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σερνταρλί","Serdarlı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Πιναρλί","Pınarlı","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ασλανκόι","Aslanköy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Εργκενεκον","Ergenekon","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ουλουκισλά","Ulukışla","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μουτλουγιακά","Mutluyaka","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Σαντάλλαρ","Sandallar","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ντορτιόλ","Dörtyol","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Αλανιτσί","Alaniçi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μαλλιντάγ","Mallıdağ","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μουραταγά","Muratağa","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Μορμενέκσε","Mormenekşe","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Τούζλα","Tuzla","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Ακόβα","Akova","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Αμμόχωστος","Famagusta","Πιρχάν","Pirhan","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Οζχάν","Özhan","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Τεπεμπασί","Tepebasi","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Χισαρκιοϊ","Hisarkoy","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Ακντενίζ","Akdeniz","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Σιρινεβλέρ","Sirinevler","","","","","","","","","Asia/Famagusta","+02.00"
"CY","Κύπρος","Cyprus","Κερύνεια","Keryneia","Καρπασά","Karpasa","","","","","","","","","Asia/Famagusta","+02.00"
