"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Benice","Benice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Bohnice","Bohnice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Braník","Braník","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Bubeneč","Bubeneč","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Běchovice","Běchovice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Břevnov","Břevnov","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Březiněves","Březiněves","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Chodov","Chodov","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Cholupice","Cholupice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Dejvice","Dejvice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Dolní Chabry","Dolní Chabry","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Dolní Měcholupy","Dolní Měcholupy","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Dolní Počernice","Dolní Počernice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Dubeč","Dubeč","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hloubětín","Hloubětín","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlubočepy","Hlubočepy","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hodkovičky","Hodkovičky","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Holešovice","Holešovice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Holyně","Holyně","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Horní Měcholupy","Horní Měcholupy","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Horní Počernice","Horní Počernice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hostavice","Hostavice","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hostivař","Hostivař","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hradčany","Hradčany","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hrdlořezy","Hrdlořezy","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Háje","Háje","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hájek","Hájek","","","","","","","Europe/Prague","+01.00"
"CZ","Czech Republic","Czech Republic","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Hlavní město Praha","Jinonice","Jinonice","","","","","","","Europe/Prague","+01.00"
