"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Rems-Murr-Kreis","","Urbach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Mecklenburg-Vorpommern","Mecklenburg-West Pomerania","Vorpommern-Greifswald","","Daberkow","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Herzogtum Lauenburg","","Langenlehsten","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Gotha","","Hörsel","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Hessen","Hesse","Kassel","","Calden","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Schaumburg","","Nienstädt","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Segeberg","","Heidmoor","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Wolfenbüttel","","Winnigstedt","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Mecklenburg-Vorpommern","Mecklenburg-West Pomerania","Nordwestmecklenburg","","Roduchelstorf","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Greiz","","Brahmenau","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Düsseldorf","","Düsseldorf","Düsseldorf","Oberkassel","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Mannheim","","Mannheim","Mannheim","Feudenheim","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Stormarn","","Nienwohld","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Alb-Donau-Kreis","","Unterstadion","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Nürnberg","Nuremberg","Nürnberg","Nuremberg","Innenstadtgürtel West/Nord/Ost","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Sachsen","Saxony","Sächsische Schweiz-Osterzgebirge","","Dippoldiswalde","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Saarland","Saarland","Merzig-Wadern","","Losheim am See","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Brandenburg","Brandenburg","Oberhavel","","Sonnenberg","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Essen","","Essen","Essen","Vogelheim","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Hessen","Hesse","Frankfurt am Main","Frankfurt am Main","Frankfurt am Main","Frankfurt am Main","Riederwald","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Stuttgart","","Stuttgart","Stuttgart","Stuttgart-Nord","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Rhein-Lahn-Kreis","","Patersberg","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Mecklenburg-Vorpommern","Mecklenburg-West Pomerania","Vorpommern-Greifswald","","Ducherow","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Rendsburg-Eckernförde","","Beringstedt","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Rhein-Hunsrück-Kreis","","Hecken","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Neckar-Odenwald-Kreis","","Neunkirchen","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Saale-Holzland-Kreis","","Hermsdorf","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Schleswig-Flensburg","","Struxdorf","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Lüneburg","","Neetze","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Westerwaldkreis","","Kroppach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Ansbach","","Windsbach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Schmalkalden-Meiningen","","Fambach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Donau-Ries","","Möttingen","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Schmalkalden-Meiningen","","Christes","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Weißenburg-Gunzenhausen","","Raitenbuch","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Schaumburg","","Wiedensahl","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Fürstenfeldbruck","","Fürstenfeldbruck","Fürstenfeldbruck","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Helmstedt","","Königslutter am Elm","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Bochum","","Bochum","Bochum","Sevinghausen","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Nürnberger Land","","Zerzabelshofer Forst","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Sachsen","Saxony","Chemnitz","","Chemnitz","Chemnitz","Kappel","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Saale-Holzland-Kreis","","Laasdorf","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Hamburg","Hamburg","Hamburg","","Hamburg","Hamburg","Duvenstedt","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Neu-Ulm","","Illertissen","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Bad Dürkheim","","Gerolsheim","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Köln","Cologne","Köln","Cologne","Lindweiler","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Hessen","Hesse","Bergstraße","","Lindenfels","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Dingolfing-Landau","","Moosthenning","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Region Hannover","Hanover","Hannover","Hanover","Stöcken","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Schaumburg","","Obernkirchen","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Hessen","Hesse","Gießen","Giessen","Linden","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Rendsburg-Eckernförde","","Achterwehr","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Greiz","","Zeulenroda-Triebes","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Trier-Saarburg","","Trierweiler","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Bad Kissingen","","Fuchsstadt","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Wolfenbüttel","","Erkerode","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Südliche Weinstraße","","Roschbach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Brandenburg","Brandenburg","Havelland","","Seeblick","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Lörrach","","Wembach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Kleve","Cleves","Kranenburg","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Gifhorn","","Steinhorst","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Nordrhein-Westfalen","North Rhine-Westphalia","Gelsenkirchen","","Gelsenkirchen","Gelsenkirchen","Heßler","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","München","Munich","München","Munich","Sendling-Westpark","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Saarland","Saarland","Neunkirchen","","Ottweiler","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Vulkaneifel","","Brockscheid","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Mecklenburg-Vorpommern","Mecklenburg-West Pomerania","Nordwestmecklenburg","","Gadebusch","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Sachsen-Anhalt","Saxony-Anhalt","Stendal","","Tangerhütte","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Niedersachsen","Lower Saxony","Wolfenbüttel","","Schöppenstedt","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Eichsfeld","","Leinefelde-Worbis","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Cochem-Zell","","Wagenhausen","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Ansbach","","Schopfloch","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Sachsen-Anhalt","Saxony-Anhalt","Jerichower Land","","Möser","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Donnersbergkreis","","Sitters","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Bayern","Bavaria","Forchheim","","Eggolsheim","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Vulkaneifel","","Gönnersdorf","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Thüringen","Thuringia","Saale-Orla-Kreis","","Moßbach","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Baden-Württemberg","Baden-Württemberg","Rastatt","","Rheinmünster","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Rheinland-Pfalz","Rhineland-Palatinate","Südliche Weinstraße","","Maikammer","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Schleswig-Holstein","Schleswig-Holstein","Steinburg","","Hohenaspe","","","","","","","","Europe/Berlin","+01.00"
"DE","Deutschland","Germany","Brandenburg","Brandenburg","Teltow-Fläming","","Jüterbog","","","","","","","","Europe/Berlin","+01.00"
