"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Halsnæs","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Sorø","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Ærø","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Nordjylland","North Jutland","Mariagerfjord","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Ballerup","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Ikast-Brande","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Kerteminde","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Bornholm","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Solrød","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Holstebro","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Vejle","Vejle","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Rødovre","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Tønder","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Roskilde","Roskilde","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Ringsted","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Fredensborg","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Glostrup","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Vejen","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Fanø","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Nordjylland","North Jutland","Rebild","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Favrskov","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Helsingør","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Christiansø","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Nordjylland","North Jutland","Hjørring","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Gentofte","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Silkeborg","Silkeborg","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Haderslev","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","København","Copenhagen","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Nyborg","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Svendborg","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Køge","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Vallensbæk","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Albertslund","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Nordjylland","North Jutland","Brønderslev","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Struer","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Skive","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Odense","Odense","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Nordjylland","North Jutland","Jammerbugt","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Kalundborg","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Kolding","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Varde","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Egedal","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Lejre","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Greve","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Guldborgsund","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Hørsholm","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Faaborg-Midtfyn","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Dragør","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Esbjerg","Esbjerg","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Odder","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Ishøj","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Næstved","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Aarhus","Aarhus","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Tårnby","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Gladsaxe","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Horsens","Horsens","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Langeland","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Ringkøbing-Skjern","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Sjælland","Zealand","Faxe","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Frederikssund","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Midtjylland","Central Jutland","Herning","Herning","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Aabenraa","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Hovedstaden","Capital Region","Lyngby-Taarbæk","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Billund","","","","","","","","","","Europe/Copenhagen","+02.00"
"DK","Danmark","Denmark","Syddanmark","South Denmark","Assens","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Sjælland","Zealand","Lolland","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Nordjylland","North Jutland","Læsø","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Hovedstaden","Capital Region","Allerød","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Midtjylland","Central Jutland","Lemvig","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Syddanmark","South Denmark","Fredericia","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Hovedstaden","Capital Region","Rudersdal","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Sjælland","Zealand","Slagelse","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Nordjylland","North Jutland","Morsø","Mors","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Midtjylland","Central Jutland","Samsø","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Hovedstaden","Capital Region","Frederiksberg","Frederiksberg","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Midtjylland","Central Jutland","Norddjurs","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Hovedstaden","Capital Region","Herlev","","","","","","","","","","Europe/Copenhagen","+02.00"
"","Danmark","Denmark","Hovedstaden","Capital Region","Hvidovre","","","","","","","","","","Europe/Copenhagen","+02.00"
