"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"EC","","Ecuador","","Azuay","","Camilo Ponce Enríquez","","Camilo Ponce Enriquez","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Camilo Ponce Enríquez","","El Carmen De Pijili","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Baños","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Chaucha","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Checa (Jidcay)-Chiquintad","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Bellavista","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Cañaribamba","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_El Batan","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_El Sagrario","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_El Vecino","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Gil Ramirez Davalos","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Hermano Miguel","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Huayna Capac","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Machangara","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Monay","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_San Blas","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_San Sebastian","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Sucre","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Totorocoha","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Cuenca_Yanuncay","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Molleturo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Octavio Cordero Palacios (Sta. Rosa)-Sidcay","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Paccha-Nulti","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Quingeo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Ricaurte-Llacao","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","San Joaquin","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Santa Ana","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Sayausi","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Sinincay","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Tarqui","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Turi","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Cuenca","","Valle","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Girón","","Giron-San Gerardo-Asuncion","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Gualaceo","","Daniel Cordova Toral (El Oriente)-Remigio Crespo Toral (Gulag)-Luis Cordero Vega-Mariano Moreno","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Gualaceo","","Gualaceo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Gualaceo","","Jadan","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Gualaceo","","San Juan-Simon Bolivar (Cab. En Gañanzol)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Gualaceo","","Zhidmad","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Nabón","","El Progreso (Cab.En Zhiota)-Las Nieves (Chaya)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Nabón","","Nabon-Cochapata","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Paute","","Guarainag-Tomebamba-Dug Dug-Bulan (Jose Victor Izquierdo)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Paute","","San Cristobal (Carlos Ordoñez Lazo)-Chican (Guillermo Ortega)-El Cabo-Paute","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón San Fernando","","San Fernando-Chumblin","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Santa Isabel","","Abdon Calderon (La Union)-Santa Isabel (Chaguarurco)-Zhaglli (Shaglli )","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Sigsig","","Jima (Gima)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Sigsig","","Ludo-San Jose De Raranga","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Cantón Sigsig","","San Bartolome-Guel-Sigsig-Cuchil (Cutchil)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Chordeleg","","San Martin De Puzhio-Luis Galarza Orellana (Cab. En Delegsol)-Principal-Chordeleg-La Union","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","El Pan","","El Pan-San Vicente","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Guachapala","","Guachapala","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Oña","","Susudel-San Felipe De Oña","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Pucara","","Pucara","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Pucara","","San Rafael De Sharug","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Sevilla De Oro","","Amaluza-Palamas","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Azuay","","Sevilla De Oro","","Sevilla De Oro","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Canton Caluma","","Caluma","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Canton Echeandia","","Echeandia","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Canton Las Naves","","Las Naves","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Chillanes","","Chillanes","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Chillanes","","San Jose Del Tambo (Tambopamba)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Chimbo","","Magdalena (Chapacoto)-Asuncion (Asancoto)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Chimbo","","San Sebastian-San Jose De Chimbo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Chimbo","","Telimbela","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","Facundo Vela","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","Guaranda","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","Salinas","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","San Luis De Pambil","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","Santafe (Santa Fe)-Julio E. Moreno (Catanahuan Grande)-San Simon (Yacoto)-Sanlorenzo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón Guaranda","","Simiatug","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón San Miguel","","Balsapamba-Bilovan-Regulo De Mora","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón San Miguel","","San Miguel","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón San Miguel","","San Pablo (San Pablo De Atenas)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Bolívar","","Cantón San Miguel","","Santiago-San Vicente","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Canton Bolivar","","Los Andes-Bolivar","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Canton Bolivar","","San Rafael-Monte Olivo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Canton Bolivar","","San Vicente De Pusir-Garcia Moreno","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Espejo","","El Goaltal","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Espejo","","San Isidro-La Libertad (Alizo)-El Angel","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Mira","","Concepcion-Jijon Y Caamaño (Cab. En Rio Blanco)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Mira","","Juan Montalvo (San Ignacio De Quil)-Mira (Chontahuasi)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Montúfar","","Cristobal Colon-Fernandez Salvador-Piartal-Chitan De Navarrete","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Montúfar","","La Paz","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Montúfar","","San Gabriel","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Julio Andrade (Orejuela)-El Carmelo (El Pun)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Maldonado-Tobar Donoso (La Bocana De Camunbi)-El Chical","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Pioter-Santa Martha De Cuba","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Tufiño","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Tulcan","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","Cantón Tulcán","","Urbina (Taya)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Carchi","","San Pedro De Huaca","","Huaca-Mariscal Sucre","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Canton El Tambo","","El Tambo","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Cantón Azogues","","Azogues","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Cantón Azogues","","Cojitambo-Javier Loyola (Chuquipata)","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Cantón Azogues","","Guapan","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Cantón Azogues","","Luis Cordero","","","","","","","Pacific/Galapagos","-06.00"
"EC","","Ecuador","","Cañar","","Cantón Azogues","","Pindilig-Rivera-Taday","","","","","","","Pacific/Galapagos","-06.00"
