"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"EE","Eesti","Estonia","Jõgeva maakond","","Jõgeva vald","","Pööra","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Harju maakond","Harju","Viimsi vald","","Kelvingi","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Tartu maakond","","Elva vald","","Järveküla","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Võru maakond","","Rõuge vald","","Vadsa","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Viljandi maakond","","Mulgi vald","","Halliste","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Saare maakond","","Saaremaa vald","","Kalli","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Hiiu maakond","","Hiiumaa vald","","Mangu","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Järva maakond","","Järva-Jaani","","Kiigevere","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Võru maakond","","Võru vald","","Lapi","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Jõgeva maakond","","Jõgeva vald","","Väljaotsa","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Lääne-Viru maakond","","Kadrina vald","","Undla","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Järva maakond","","Järva-Jaani","","Kaalepi","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Võru maakond","","Rõuge vald","","Kilomani","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Pärnu maakond","","Lääneranna vald","","Saulepi","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Tartu maakond","","Peipsiääre vald","","Lahepera","","","","","","","","Europe/Tallinn","+03.00"
"EE","Eesti","Estonia","Ida-Viru maakond","","Kohtla-Järve linn","","Järve","","","","","","","","Europe/Tallinn","+03.00"
