"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","Aga","Aja","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Jamaliyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Mansurah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Mansurah 1","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Mansurah 2","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Manzilah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Al-Matariyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","As-Sinbillawayn","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","Bany Abeed","Bani Ubayd","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Bilqas","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Dikirnis","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","Jamasah","Gamsa","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","Mahalet Demna","Mahalat Dimnah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Minyat an-Nasr","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Mit Ghamr","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Mit Salsil","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Nabaruh","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Shirbin","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Talkha","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","الدقهلية","Ad Daqahliyah","","Timay al-Imdid","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Al-Ghurdaqah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Al-Ghurdaqah 2","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Al-Qusayr","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Ash-Shalatin","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Marsa 'Alam","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Ras Gharib","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة البحر الأحمر","Al Bahr al Ahmar","","Safaja","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Abu al-Matamir","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Abu Hummus","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Ad-Dilinat","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Al-Mahmudiyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Ar-Rahmaniyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Badr","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Damanhur","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Hawsh 'Isa","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Idku","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Ityay al-Barud","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Kafr ad-Dawwar","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Kawm Hamadah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","Rashid","Rosetta","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Shubra Khit","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Unorganized in Al Buhayrah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","Wadi Al-Natron","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","البحيرة","Al Buhayrah","","West Nubariyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Al-Fayyum","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Al-Fayyum City","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","Abshaway","Ibshaway","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","Atsa","Itsa","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Sinnuris","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Tamiyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Unorganized in Al Fayoum","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الفيوم","Al Fayyum","","Yusuf as-Sidiq","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Al-Mahallah al-Kubra","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Al-Mahallah al-Kubra 1","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Al-Mahallah al-Kubra 2","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","As-Santah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Basyun","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Kafr az-Zayyat","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Qutur","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Samannud","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Tanta","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Tanta 1","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Tanta 2","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الغربية","Al Gharbiyah","","Zifta","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Ad-Dukhaylah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Al-'Amriyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Al-'Atarin","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","Al Gomrouk","Al-Jumruk","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Al-Laban","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","Al Manshiyya","Al-Manshiyah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Al-Muntazah","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Ar-Raml 1","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Ar-Raml 2","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Bab Sharqi","","","","","","","","","Africa/Cairo","+02.00"
"EG","مِصر","Egypt","محافظة الإسكندرية","Al Iskandariyah","","Burj al-'Arab","","","","","","","","","Africa/Cairo","+02.00"
