"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"ES","España","Spain","Islas Baleares","Balearic Islands","Baleares","","Sant Llorenç des Cardassar","Sant Llorenç des Cardassar","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla-La Mancha","Castille-La Mancha","Albacete","","Vianos","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Ávila","","La Colilla","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Comunidad Foral de Navarra","Chartered Community of Navarre","Navarra","Navarre","Arantza","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","La Coruña","A Coruña","Arzúa","","Tronceda (Santa María)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","León","Leon","Villanueva de las Manzanas","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Lérida","Lleida","Alfés","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","León","Leon","Vega de Espinareda","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Pontevedra","","Agolada","","O Sexo (Santiago)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","O Páramo","","Gondrame (Santa María)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","Friol","","Vilalvite (San Pedro)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Barcelona","","Sant Mateu de Bages","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","León","Leon","Valdepiélago","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Andalucía","Andalusia","Jaén","Jaen","Noalejo","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Lérida","Lleida","Sarroca de Lleida","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Orense","Ourense","Esgos","","Triós (San Pedro)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Salamanca","","Pizarral","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","León","Leon","Congosto","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","Ribadeo","Ribadeo","A Devesa (Santalla)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Orense","Ourense","Gomesende","","San Lourenzo de Fustáns (San Lourenzo)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Salamanca","","Villaflores","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Andalucía","Andalusia","Córdoba","Cordova","Fuente Carreteros","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Principado de Asturias","Principality of Asturias","Asturias","","Belmonte de Miranda","","Lleiguarda","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Comunidad Valenciana","Community of Valencia","Valencia","","Bellreguard","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Pontevedra","","Ponte Caldelas","","Xustáns (San Martiño)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Barcelona","","Begues","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla-La Mancha","Castille-La Mancha","Ciudad Real","","Manzanares","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Pontevedra","","Salceda de Caselas","","Entenza (Santos Xusto e Pastor)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","O Saviñao","","Vilelos (San Martiño)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","País Vasco","Basque Country","Guipúzcoa","Gipuzkoa","Bergara","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Orense","Ourense","Parada de Sil","","As Paradellas (Santa María)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Tarragona","","Altafulla","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Pontevedra","","Salvaterra de Miño","","Fornelos (San Xoán)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Pontevedra","","Rodeiro","","San Salvador de Camba (San Salvador)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Zamora","","Moraleja de Sayago","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","La Coruña","A Coruña","As Somozas","","As Somozas (Santiago Seré)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Principado de Asturias","Principality of Asturias","Asturias","","Salas","","Idarga","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Comunidad Valenciana","Community of Valencia","Castellón","Castellon","Caudiel","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","La Coruña","A Coruña","Sada","","Mosteirón (San Nicolao)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla-La Mancha","Castille-La Mancha","Cuenca","","Arcas","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Islas Baleares","Balearic Islands","Baleares","","Ciutadella de Menorca","Ciutadella de Menorca","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Burgos","","Mecerreyes","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Soria","","Valderrodilla","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","Lugo","Lugo","San Salvador de Muxa (San Salvador)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Orense","Ourense","Maside","","Santa Comba do Trevoedo (Santa Comba)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","A Pontenova","","Vilaboa (San Xulián)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","La Coruña","A Coruña","Laxe","","Traba (Santiago)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla y León","Castille and Leon","Ávila","","Mancera de Arriba","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Aragón","Aragon","Zaragoza","Saragossa","Urriés","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Lérida","Lleida","Tremp","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Barcelona","","Sant Antoni de Vilamajor","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Comunidad Valenciana","Community of Valencia","Alicante","","Els Poblets","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Castilla-La Mancha","Castille-La Mancha","Cuenca","","El Cañavate","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","La Rioja","Rioja","La Rioja","Rioja","Sotés","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Principado de Asturias","Principality of Asturias","Asturias","","Gijón","Gijón","Fresno","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","Lugo","","Sober","","Barantes (San Xoán)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","La Rioja","Rioja","La Rioja","Rioja","Tricio","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Comunidad de Madrid","Community of Madrid","Madrid","","Camarma de Esteruelas","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Andalucía","Andalusia","Sevilla","Seville","Almadén de la Plata","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Cataluña","Catalonia","Tarragona","","Margalef","","","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Galicia","Galicia","La Coruña","A Coruña","Mesía","","Visantoña (San Martiño)","","","","","","Europe/Madrid","+02.00"
"ES","España","Spain","Región de Murcia","Region of Murcia","Murcia","","Las Torres de Cotillas","","","","","","","","Europe/Madrid","+02.00"
