"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Tahtay Adiyabo","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Zana","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Tahtay Koraro","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Asgede","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Sheraro town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Shire Endaslasie town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Laelay Koraro","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Seyemti Adyabo","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Adi Daero","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Maekel Adiyabo","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Tsimbla","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","North Western","","Endabaguna town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Chila","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Aheferom","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Endaba Tsahma","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Adwa","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Laelay Maychew","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Tahtay Maychew","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Adet","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Kola Tembien","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Naeder","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Abergele (TG)","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Abiy Adi town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Adwa town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Axum town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Rama Adi Arbaete","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Ahsea","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Egela","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Hahayle","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Endafelasi","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Emba Sieneti","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Enticho town","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Keyhe tekli","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Central","","Tanqua Melashe","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Gulo Mekeda","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Erob","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Sebuha Saesie","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Ganta Afeshum","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Hawzen","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Kilte Awulaelo","","","","","","","Africa/Addis_Ababa","+03.00"
"ET","Ityopya","Ethiopia","","Tigray","","Eastern","","Atsbi","","","","","","","Africa/Addis_Ababa","+03.00"
