"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"FI","","Finland","","Central Finland Region","","Joutsa","","Joutsa","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Joutsa","","Luhanka","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Hankasalmi","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Jyväskylä","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Laukaa","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Muurame","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Petäjävesi","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Toivakka","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jyväskylä","","Uurainen","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jämsä","","Jämsä","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Jämsä","","Kuhmoinen","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Keuruu","","Keuruu","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Keuruu","","Multia","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Saarijärvi-Viitasaari","","Kannonkoski","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Saarijärvi-Viitasaari","","Karstula","","","","","","","Europe/Helsinki","+02.00"
"FI","","Finland","","Central Finland Region","","Saarijärvi-Viitasaari","","Kinnula","","","","","","","Europe/Helsinki","+02.00"
