"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","AMBERIEU EN BUGEY","AMBERIEU EN BUGEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","AMBLEON","AMBLEON","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","AMBRONAY","AMBRONAY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","AMBUTRIX","AMBUTRIX","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ANDERT ET CONDON","ANDERT ET CONDON","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ANGLEFORT","ANGLEFORT","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARANC","ARANC","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARANDAS","ARANDAS","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARBOYS EN BUGEY","ARBOYS EN BUGEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARGIS","ARGIS","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARMIX","ARMIX","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARTEMARE","ARTEMARE","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","ARVIERE EN VALROMEY","ARVIERE EN VALROMEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BELLEY","BELLEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BENONCES","BENONCES","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BEON","BEON","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BETTANT","BETTANT","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BLYES","BLYES","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BOURG ST CHRISTOPHE","BOURG ST CHRISTOPHE","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BREGNIER CORDON","BREGNIER CORDON","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BRENS","BRENS","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","BRIORD","BRIORD","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","CEYZERIEU","CEYZERIEU","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","CHALEY","CHALEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","CHAMPAGNE EN VALROMEY","CHAMPAGNE EN VALROMEY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","CHANAY","CHANAY","","","","","Europe/Paris","+02.00"
"FR","France","France","auvergne-rhône-alpes","auvergne-rhône-alpes","ain","ain","Belley","Belley","CHARNOZ SUR AIN","CHARNOZ SUR AIN","","","","","Europe/Paris","+02.00"
