"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Central","Central","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Cudworth","Cudworth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Darfield","Darfield","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","DartonEast","DartonEast","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","DartonWest","DartonWest","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","DearneSouth","DearneSouth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","HoylandMilton","HoylandMilton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Kingstone","Kingstone","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","MonkBretton","MonkBretton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","NorthEast","NorthEast","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","OldTown","OldTown","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","PenistoneEast","PenistoneEast","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","PenistoneWest","PenistoneWest","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Rockingham","Rockingham","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Royston","Royston","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","StHelens","StHelens","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Stairfoot","Stairfoot","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Wombwell","Wombwell","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Barnsley","Barnsley","Worsbrough","Worsbrough","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Barnsley","Barnsley","Doncaster","Doncaster","DearneNorth","DearneNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Abbey","Abbey","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathavonNorth","BathavonNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathavonSouth","BathavonSouth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathavonWest","BathavonWest","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","ChewValleySouth","ChewValleySouth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Clutton","Clutton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","CombeDown","CombeDown","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Farmborough","Farmborough","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","HighLittleton","HighLittleton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","KeynshamNorth","KeynshamNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Kingsmead","Kingsmead","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Lambridge","Lambridge","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","MidsomerNortonNorth","MidsomerNortonNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","OddDown","OddDown","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Oldfield","Oldfield","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Paulton","Paulton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Peasedown","Peasedown","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","PublowandWhitchurch","PublowandWhitchurch","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Radstock","Radstock","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Saltford","Saltford","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Twerton","Twerton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Weston","Weston","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","BathandNorthEastSomerset","Widcombe","Widcombe","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Brickhill","Brickhill","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","BromhamandBiddenham","BromhamandBiddenham","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Castle","Castle","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Clapham","Clapham","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Eastcotts","Eastcotts","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Goldington","Goldington","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","GreatBarford","GreatBarford","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Harpur","Harpur","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Harrold","Harrold","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","KempstonCentralandEast","KempstonCentralandEast","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","KempstonRural","KempstonRural","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","KempstonWest","KempstonWest","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Oakley","Oakley","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Putnoe","Putnoe","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Riseley","Riseley","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Wootton","Wootton","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","Bedford","Bedford","Wyboston","Wyboston","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","CentralBedfordshire","CentralBedfordshire","ElstowandStewartby","ElstowandStewartby","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Bedford","Bedford","CentralBedfordshire","CentralBedfordshire","Wilshamstead","Wilshamstead","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","AcocksGreen","AcocksGreen","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","AllensCross","AllensCross","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","AlumRock","AlumRock","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Aston","Aston","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","BalsallHeathWest","BalsallHeathWest","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","BartleyGreen","BartleyGreen","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Birchfield","Birchfield","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Bordesley&Highgate","Bordesley&Highgate","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","BordesleyGreen","BordesleyGreen","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Bournbrook&SellyPark","Bournbrook&SellyPark","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Bournville&Cotteridge","Bournville&Cotteridge","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Brandwood&King'sHeath","Brandwood&King'sHeath","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Bromford&HodgeHill","Bromford&HodgeHill","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","CastleVale","CastleVale","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","DruidsHeath&Monyhull","DruidsHeath&Monyhull","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Edgbaston","Edgbaston","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Erdington","Erdington","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","GlebeFarm&TileCross","GlebeFarm&TileCross","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","GravellyHill","GravellyHill","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","HallGreenNorth","HallGreenNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","HallGreenSouth","HallGreenSouth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Handsworth","Handsworth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","HandsworthWood","HandsworthWood","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Harborne","Harborne","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Highter'sHeath","Highter'sHeath","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Holyhead","Holyhead","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","King'sNortonNorth","King'sNortonNorth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","King'sNortonSouth","King'sNortonSouth","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Kingstanding","Kingstanding","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Ladywood","Ladywood","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Longbridge&WestHeath","Longbridge&WestHeath","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Lozells","Lozells","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Moseley","Moseley","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Nechells","Nechells","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Newtown","Newtown","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","Northfield","Northfield","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","PerryBarr","PerryBarr","","","","","Europe/London","+01.00"
"GB","United Kingdom","United Kingdom","England","England","Birmingham","Birmingham","Birmingham","Birmingham","PypeHayes","PypeHayes","","","","","Europe/London","+01.00"
