"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Abuom","Abuom","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Adokurom","Adokurom","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Adu Tutukurom","Adu Tutukurom","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Ahamtamo","Ahamtamo","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Akrodie","Akrodie","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Akyakyaso","Akyakyaso","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Ampenkro","Ampenkro","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Anibirikrom","Anibirikrom","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Anigyekurom","Anigyekurom","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Anwianwia","Anwianwia","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Asuadai","Asuadai","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Asuadee","Asuadee","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Asubura","Asubura","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Asumura","Asumura","","","","","","","Africa/Accra","+00.00"
"GH","Ghana","Ghana","Ahafo","Ahafo","Asunafo North","Asunafo North","Awiaso","Awiaso","","","","","","","Africa/Accra","+00.00"
