"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Άρτα","Arta","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Αγναντα","Agnada","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Ανω Καλεντινη","Ano Kaledini","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Βουργαρελι","Voyrgareli","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Δημαρι","Dimari","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Κομποτι","Koboti","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Μηλιανα","Miliana","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Νεοχωρι","Neochori","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Πετα","Peta","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Ροδαυγη","Rodaigi","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Άρτας","Arta","Φιλοθέη","Filothei","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Θεσπρωτίας","Thesprotia","Ηγουμενιτσα","Igoymenitsa","","","","","","","Europe/Athens","+02.00"
"GR","Ελλάδα","Greece","Ήπειρος","Epirus","Νομός Θεσπρωτίας","Thesprotia","Μαργαριτι","Margariti","","","","","","","Europe/Athens","+02.00"
