"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Cahabón","Cahabon","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Chahal","Chahal","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Chisec","Chisec","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Cobán","Coban","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Fray Bartolomé de Las Casas","Fray Bartolome de Las Casas","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Lanquín","Lanquin","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Panzós","Panzos","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Raxruhá","Raxruha","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","San Cristóbal Verapaz","San Cristobal Verapaz","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","San Juan Chamelco","San Juan Chamelco","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","San Pedro Carchá","San Pedro Carcha","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Santa Catalina La Tinta","Santa Catalina La Tinta","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Santa Cruz Verapaz","Santa Cruz Verapaz","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Senahú","Senahu","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Tactic","Tactic","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Tamahú","Tamahu","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Alta Verapaz","Alta Verapaz","Tucurú","Tucuru","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","Cubulco","Cubulco","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","El Chol","El Chol","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","Granados","Granados","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","Purulhá","Purulha","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","Rabinal","Rabinal","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","Salamá","Salama","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","San Jerónimo","San Jeronimo","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Baja Verapaz","Baja Verapaz","San Miguel Chicaj","San Miguel Chicaj","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Acatenango","Acatenango","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Chimaltenango","Chimaltenango","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Comalapa","Comalapa","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","El Tejar","El Tejar","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Parramos","Parramos","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Patzicía","Patzicia","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Patzún","Patzun","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","Pochuta","Pochuta","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","San Andrés Itzapa","San Andres Itzapa","","","","","","","","","America/Guatemala","-06.00"
"GT","Guatemala","Guatemala","Chimaltenango","Chimaltenango","San José Poaquil","San Jose Poaquil","","","","","","","","","America/Guatemala","-06.00"
