"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"HK","香港","Hong Kong","中西區","Central & Western","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","灣仔","Wan Chai","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","東區","Eastern","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","南區","Southern","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","油尖旺","Yau Tsim Mong","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","深水埗","Sham Shui Po","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","九龍城","Kowloon City","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","黃大仙","Wong Tai Sin","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","觀塘","Kwun Tong","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","荃灣","Tsuen Wan","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","屯門","Tuen Mun","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","元朗","Yuen Long","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","北區","North","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","大埔","Tai Po","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","西貢","Sai Kung","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","沙田","Sha Tin","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","葵青","Kwai Tsing","","","","","","","","","","","Asia/Hong_Kong","+08.00"
"HK","香港","Hong Kong","離島","Islands","","","","","","","","","","","Asia/Hong_Kong","+08.00"
