"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"HU","Magyarország","Hungary","Nógrád","Nógrád","Rétsági járás","","Berkenye","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Csornai járás","","Rábasebes","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg","Fehérgyarmati járás","","Nagyhódos","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Vas","Vas","Szombathelyi járás","","Vasszécseny","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Siklósi járás","","Szaporca","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Tolna","Tolna","Bonyhádi járás","","Kéty","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Szikszói járás","","Homrogd","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Hajdú-Bihar","Hajdú-Bihar","Püspökladányi járás","","Báránd","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Siklósi járás","","Alsószentmárton","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Somogy","Somogy County","Marcali járás","","Somogyszentpál","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi járás","","Vágáshuta","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Győri járás","","Töltéstava","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Veszprém","Veszprém","Pápai járás","","Vanyola","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Békés","Békés","Békéscsabai járás","","Doboz","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Téti járás","","Kisbabot","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Nógrád","Nógrád","Balassagyarmati járás","","Ipolyvece","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Edelényi járás","","Viszló","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Zalaegerszegi járás","","Nemesszentandrás","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Ózdi járás","","Lénárddaróc","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg","Mátészalkai járás","","Mérk","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Gönci járás","","Arka","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Keszthelyi járás","","Dióskál","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Nógrád","Nógrád","Rétsági járás","","Nézsa","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Tolna","Tolna","Tamási járás","","Miszla","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Pest","Pest","Ráckevei járás","","Szigetcsép","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Győri járás","","Rétalap","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Veszprém","Veszprém","Balatonfüredi járás","","Balatonszepezd","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg","Nyíregyházi járás","","Szabolcs","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Bólyi járás","","Borjád","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Tiszaújvárosi járás","","Nemesbikk","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Pannonhalmi járás","","Écs","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Mezőkövesdi járás","","Bükkábrány","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Zalaegerszegi járás","","Milejszeg","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Heves","Heves","Pétervásárai járás","","Kisfüzes","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén","Edelényi járás","","Szakácsi","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Heves","Heves","Hevesi járás","","Tenk","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Zalaegerszegi járás","","Búcsúszentlászló","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Veszprém","Veszprém","Pápai járás","","Mihályháza","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Keszthelyi járás","","Karmacs","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Szigetvári járás","","Somogyhatvan","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Jász-Nagykun-Szolnok","Jász-Nagykun-Szolnok","Tiszafüredi járás","","Tiszaörs","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Nagykanizsai járás","","Hosszúvölgy","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Bács-Kiskun","Bács-Kiskun","Kecskeméti járás","","Helvécia","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Somogy","Somogy County","Siófoki járás","","Siófok","Siófok","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Vas","Vas","Szombathelyi járás","","Táplánszentkereszt","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Veszprém","Veszprém","Sümegi járás","","Csabrendek","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg","Fehérgyarmati járás","","Tiszacsécse","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Zala","Zala","Keszthelyi járás","","Zalacsány","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Szentlőrinci járás","","Szentlőrinc","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Tolna","Tolna","Szekszárdi járás","","Sióagárd","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Pest","Pest","Ráckevei járás","","Szigetbecse","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Nógrád","Nógrád","Balassagyarmati járás","","Balassagyarmat","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Vas","Vas","Sárvári járás","","Rábapaty","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Győr-Moson-Sopron","Gyor-Moson-Sopron","Soproni járás","","Lövő","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Komárom-Esztergom","Komárom-Esztergom","Esztergomi járás","","Tokod","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Mohácsi járás","","Mohács","Mohács","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Pest","Pest","Ceglédi járás","","Cegléd","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg","Kisvárdai járás","","Pap","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Heves","Heves","Egri járás","","Nagytálya","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Szigetvári járás","","Ibafa","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Budapest","Budapest","","","Budapest","Budapest","7. kerület","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Baranya","Baranya","Pécsi járás","","Szilágy","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Hajdú-Bihar","Hajdú-Bihar","Berettyóújfalui járás","","Váncsod","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Nógrád","Nógrád","Pásztói járás","","Kutasó","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Csongrád-Csanád","Csongrád-Csanád","Makói járás","","Földeák","","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Bács-Kiskun","Bács-Kiskun","Kecskeméti járás","","Lajosmizse","Lajosmizse","","","","","","","Europe/Budapest","+02.00"
"HU","Magyarország","Hungary","Vas","Vas","Körmendi járás","","Halogy","","","","","","","","Europe/Budapest","+02.00"
