"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur II","","1 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu I","","1 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur III","","10 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur III","","11 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu II","","11 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu II","","12 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","13 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu II","","13 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","14 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu II","","14 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","15 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Jakabaring","","15 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","16 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu II","","16 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","17 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","18 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Bukit Kecil","","19 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur II","","2 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Seberang Ulu I","","2 Ulu","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","20 Ilir I","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Kemuning","","20 Ilir II","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","20 Ilir III","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Timur I","","20 Ilir IV","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Bukit Kecil","","22 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Bukit Kecil","","23 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Bukit Kecil","","24 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Bukit Kecil","","26 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Barat I","","26 Ilir I","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Barat II","","27 Ilir","","","","","Asia/Jakarta","+03.00"
"ID","","Indonesia","","Sumatera Selatan","","Kota Palembang","","Ilir Barat II","","28 Ilir","","","","","Asia/Jakarta","+03.00"
