"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"IE","Ireland","Ireland","Waterford","Waterford","Waterford","Waterford","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Louth","Louth","Louth","Louth","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Mayo","Mayo","Mayo","Mayo","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Clare","Clare","Clare","Clare","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Carlow","Carlow","Carlow","Carlow","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Kerry","Kerry","Kerry","Kerry","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Meath","Meath","Meath","Meath","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Cork","Cork","Cork","Cork","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Cavan","Cavan","Cavan","Cavan","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Kildare","Kildare","Kildare","Kildare","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Roscommon","Roscommon","Roscommon","Roscommon","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Monaghan","Monaghan","Monaghan","Monaghan","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Westmeath","Westmeath","Westmeath","Westmeath","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Donegal","Donegal","Donegal","Donegal","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Leitrim","Leitrim","Leitrim","Leitrim","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Kilkenny","Kilkenny","Kilkenny","Kilkenny","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Dublin","Dublin","Dun Laoghaire-Rathdown","Dun Laoghaire-Rathdown","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Sligo","Sligo","Sligo","Sligo","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Offaly","Offaly","Offaly","Offaly","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Wexford","Wexford","Wexford","Wexford","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Galway","Galway","Galway","Galway","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Limerick","Limerick","Limerick","Limerick","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Laois","Laois","Laois","Laois","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Dublin","Dublin","South Dublin","South Dublin","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Dublin","Dublin","Fingal","Fingal","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Tipperary","Tipperary","Tipperary","Tipperary","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Wicklow","Wicklow","Wicklow","Wicklow","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Longford","Longford","Longford","Longford","","","","","","","","","Europe/Dublin","+01.00"
"IE","Ireland","Ireland","Dublin","Dublin","Dublin City","Dublin Corporation","","","","","","","","","Europe/Dublin","+01.00"
