"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"IL","ישראל","Israel","מחוז דרום","Southern District","קלחים","Kelahim","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","נווה יער","Neve Yaar","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","גבעת השלושה","Givat Hashlosha","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","גינתון","Ginaton","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","פרדסייה","Pardesiya","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","חניאל","Haniel","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז תל אביב","Tel Aviv District","הרצליה","Herzliya","וייצמן","Weizmann","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז תל אביב","Tel Aviv District","קרית אונו","Kiryat Ono","מגדל המים","Migdal Hamaim","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","בענה","Bina","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז דרום","Southern District","הוואשלה","Hawashla","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","בסמת טבעון","Basmat Tivon","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","שילה","Shiloh","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","סנור","Sanur","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","כפר מונש","Kfar Monash","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","הוד השרון","Hod Hasharon","אזור תעשיה נוה נאמן ב'","Neve Neeman Beit Industrial Zone","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז ירושלים","Jerusalem District","בית שמש","Beit Shemesh","קנה הבושם","Kane Habosem","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז חיפה","Haifa District","חדרה","Hadera","נחליאל","Nachliel","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","עלמה","Alma","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","שפר","Shefer","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","לוד","Lod","סביוני לוד","Saviyonei Lod","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז דרום","Southern District","רהט","Rahat","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","בית ירח","Beit Yerach","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז ירושלים","Jerusalem District","ירושלים","Jerusalem","הרובע היהודי","Jewish Quarter","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז דרום","Southern District","קדמה","Kedma","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","אודלה","Udala","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","טורעאן","Toraan","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","נמל תעופה בן גוריון","Ben Gurion Airport","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","בניה","Benaya","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","גבעת שפירא","Givat Shapira","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","قطاع غزة","Gaza Strip","دير البلح","Deir Al Balah","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","קרית עקרון","Kiryat Ekron","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז חיפה","Haifa District","עין הוד","Ein Hod","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","قطاع غزة","Gaza Strip","مخيم المغازي","Al Maghazi Camp","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","יהוד מונוסון","Yehud Monoson","אזור תעשיה","Industrial Zone","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","קאראוות באני וויד","Karawat Bani Wid","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","שדמה","Shdema","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","מעלה אפרים","Maale Efraim","מעלה אפרים","Maale Efraim","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז תל אביב","Tel Aviv District","","","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","פתח תקווה","Petah Tikva","אזור תעשיה סגולה","Segula Industrial Zone","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז צפון","Northern District","אוהלו","Ohalo","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז דרום","Southern District","סעד","Saad","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז תל אביב","Tel Aviv District","חולון","Holon","נאות רחל","Neot Rachel","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז מרכז","Central District","כפר ברא","Kfar Bara","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","ח'רבת א- נבי אליס","Khirbet Al Nebi Alais","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","סילת אל-חריתיה","Salit Al Khiritia","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז תל אביב","Tel Aviv District","גליל ים","Glil Yam","","","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","מחוז חיפה","Haifa District","אור עקיבא","Or Akiva","גני אור","Ganei Or","","","","","","","Asia/Jerusalem","+03.00"
"IL","ישראל","Israel","יהודה ושומרון","Judea and Samaria","ערק בורין","Arak Burin","","","","","","","","","Asia/Jerusalem","+03.00"
