"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"IN","भारत","India","","AndamanandNicobar","","NicobarIslands","","n.a.(2304)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndamanandNicobar","","NorthandMiddleAndaman","","n.a.(2178)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndamanandNicobar","","SouthAndaman","","n.a.(2178)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Anantapur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Dharmavaram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Gooty","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Hindupur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Kadiri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Kalyandurg","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Madakasira","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Penukonda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Rayadurg","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Anantapur","","Tadpatri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Chandragiri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Chittoor","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Kuppam","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Madanapalle","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Palmaner","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Punganuru","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Puttur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Satyavedu","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","SriKalahasti","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Chittoor","","Vayalipad","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Addatigala","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Amalapuram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Kakinada","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Kottapeta","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Mummidivaram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Peddapuram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Pithapuram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Prathipadu","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Rajahmundry","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Ramachandrapuram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","RampaChodavaram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Razole","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","EastGodavari","","Tuni","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Bapatla","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Guntur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Guruzala","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Narasaraopet","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Repalle","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Sattenapalle","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Tenali","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Guntur","","Vinukonda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Avanigadda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Gannavaram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Gudivada","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Jaggayyapeta","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Kaikalur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Machilipatnam","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Nandigama","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Nuzvid","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Tiruvuru","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Krishna","","Vijayawada","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Adoni","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Allagadda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Alur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Atmakur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Banganapalli","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Dhone","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Koilkuntla","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Kurnool","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Nandikotkur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Nandyal","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Kurnool","","Pattikonda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Atmakur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Gudur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Kavali","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Kovvur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1971)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1975)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1983)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1991)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1992)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1997)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(1998)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(2000)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","n.a.(2002)","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Nellore","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Rapur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Suluru","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Udayagiri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Nellore","","Venkatagiri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Addanki","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Chirala","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Darsi","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Giddalur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Kandukur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Kanigiri","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Markapur","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Ongole","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Prakasam","","Podili","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Chipurupalle","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Ichchapuram","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Narsannapeta","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Palakonda","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Pathapatnam","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Sompeta","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Srikakulam","","","","","","","Asia/Kolkata","+05.30"
"IN","भारत","India","","AndhraPradesh","","Srikakulam","","Tekkali","","","","","","","Asia/Kolkata","+05.30"
