"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"IQ","العراق","Iraq","بابل","Babil","الحلة","Al-Hilla","ابي غرق","Abi Gharaq","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","الدور","Al-Daur","ابو دلف","Abu Dalf","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الكاظمية","Al-Kadhmiyah","ابي غريب","Abu Ghraib","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","السليمانية","Al-Sulaymaniyah","جمجمال","Chamchamal","ئاغجة لةر","Agjalare","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","سوق الشيوخ","Suq Al-Shoyokh","عكيكة","Akaika","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كركوك","Kirkuk","الحويجة","Al-Hawiga","العباسية","Al-Abbasi","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ميسان","Maysan","المجر الكبير","Al-Mejar Al-Kabir","العدل","Al-Adel","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","النعمانية","Al-Namaniya","الاحرار","Al-Ahrar","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","تكريت","Tikrit","العلم","Al-Alam","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","الفلوجة","Al-Falluja","العامرية","Al-Amirya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ديالى","Diyala","الخالص","Al-Khalis","العظيم","Al-Atheem","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","تلعفر","Telafar","العياضية","Al-Ayadiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ميسان","Maysan","المجر الكبير","Al-Mejar Al-Kabir","العزير","Al-Aziz","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","الصويرة","Al-Suwaira","العزيزية","Al-Aziziya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","هيت","Heet","البغدادي","Al-Baghdady","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","الفاو","Al-Faw","البحار","Al-Bahhar","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","الحي","Al-Hai","البشائر","Al-Bashaer","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الناصرية","Al-Nasiriya","البطحاء","Al-Battha'a","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","عفك","Afaq","البدير","Al-Bdair","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الديوانية","Al-Diwaniya","الدغارة","Al-Daghara","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","القرنة","Al-Qurna","الدير","Al-Dair","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الشطرة","Al-Shatra","الدواية","Al-Dawaya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","بلد","Balad","الدجيل","Al-Dujeel","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","بلد","Balad","الضلوعية","Al-Duloeyah","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","دهوك","Duhok","دهوك","Duhok","الدوسكي","Al-Duski","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","المحاويل","Al-Mahaweel","الامام","Al-Emam","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","بلد","Balad","الاسحاقي","Al-Esshaqi","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","سوق الشيوخ","Suq Al-Shoyokh","الفضلية","Al-Fadhliya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الاعظمية","Al-Adhamiya","الفحامة","Al-Fahama","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الرفاعي","Al-Rifai","الفجر","Al-Fajer","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","عفك","Afaq","الفوار","Al-Fawwar","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","هيت","Heet","الفرات","Al-Forat","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الجبايش","Al-Chibayish","الفهود","Al-Fuhood","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","الفلوجة","Al-Falluja","الكرمة","Al-Garma","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الشطرة","Al-Shatra","القراف","Al-Gharraf","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","الرمادي","Al-Ramadi","الحبانية","Al-Habbaniya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","الصويرة","Al-Suwaira","الحفرية","Al-Hafriya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الجبايش","Al-Chibayish","الحمار","Al-Hammar","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","حديثة","Haditha","الحقلانية","Al-Haqlaniya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","البصرة","Al-Basrah","الهارثة","Al-Hartha","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كربلاء","Kerbala","كربلاء","Kerbela","الحسينية","Al-Hassainya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","النجف","Al-Najaf","النجف","Al-Najaf","الحيدرية","Al-Haydariya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","النجف","Al-Najaf","المناذرة","Al-Manathera","الحيرة","Al-Heera","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","المثنى","Al-Muthanna","الرميثة","Al-Rumaitha","الهلال","Al-Hilal","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","المدينة","Al-Midaina","الهوير","Al-Howweir","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","النجف","Al-Najaf","الكوفة","Al-Kufa","الحرية","Al-Huriya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","المسيب","Al-Mussyab","الاسكندرية","Al-Iskandaria","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الناصرية","Al-Nasiriya","الاصلاح","Al-Islah","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كربلاء","Kerbala","الهندية","Al-Hindiya","الجدول الغربي","Al-Jadwal Al-Ghrabi","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","المدائن","Al-Mada'in","الجسر","Al-Jisr","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","القائم","Al-Kaim","الكرابلة","Al-Karabla","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الرصافة","Al-Risafa","الكرادة الشرقية","Al-Karrada Al-Sharqia","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","الحلة","Al-Hilla","الكفل","Al-Kifil","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","المحمودية","Al-Mahmoudiya","اللطيفية","Al-Latifya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","الهاشمية","Al-Hashimiya","المدحتية","Al-Madhatiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","المثنى","Al-Muthanna","الرميثة","Al-Rumaitha","المجد","Al-Majd","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الكرخ","Al-Karkh","المأمون","Al-Mamoon","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الكرخ","Al-Karkh","المنصور","Al-Mansour","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ديالى","Diyala","الخالص","Al-Khalis","المنصورية","Al-Mansouriyah","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","المحاويل","Al-Mahaweel","المشروع","Al-Mashroo","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الشامية","Al-Shamiya","المهناوية","Al-Mihanawiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","الحي","Al-Hai","الموفقية","Al-Mowafaqiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ميسان","Maysan","الكحلاء","Al-Kahla","المشرح","Al-Msharah","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","الموصل","Al-Mosul","المحمداث","Al-Muhamadath","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كركوك","Kirkuk","كركوك","Kirkuk","الملتقى","Al-Multaka","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","صلاح الدين","Salah Al-Din","سامراء","Samarra","المعتصم","Al-Muotasim","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","المثنى","Al-Muthanna","الرميثة","Al-Rumaitha","النجمي","Al-Najmi","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","شط العرب","Shat Al-Arab","النشوة","Al-Nashwa","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ذي قار","Thi Qar","الرفاعي","Al-Rifai","النصر","Al-Nasr","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","الرطبة","Al-Rutba","النخيب","Al-Nekhaeeb","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","القائم","Al-Kaim","العبيدي","Al-Obiadi","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","البعاج","Al-Baaj","القحطانية","Al-Qahtanya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","سنجار","Sinjar","القيروان","Al-Qairawan","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","الهاشمية","Al-Hashimiya","القاسم","Al-Qasim","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","الموصل","Al-Mosul","القيارة","Al-Qayarra","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","تلكيف","Tilkaef","القوش","Al-Qosh","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","الرمادي","Al-Ramadi","الرحالية","Al-Rahhaliya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كركوك","Kirkuk","داقوق","Daquq","الرشاد","Al-Rashad","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","الاعظمية","Al-Adhamiya","الراشدية","Al-Rashdia","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بغداد","Baghdad","المحمودية","Al-Mahmoudiya","الرشيد","Al-Rasheed","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","كركوك","Kirkuk","الحويجة","Al-Hawiga","الرياض","Al-Riyadh","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","الانبار","Al-Anbar","القائم","Al-Kaim","الرمانة","Al-Rummaneh","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ديالى","Diyala","خانقين","Khanaqin","السعدية","Al-Saadiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الحمزة","Al-Hamza","السدير","Al-Sadeer","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","ميسان","Maysan","الميمونة","Al-Maimouna","السلام","Al-Salam","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الديوانية","Al-Diwaniya","السنية","Al-Saniya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","النجف","Al-Najaf","النجف","Al-Najaf","الشبكة","Al-Shabaka","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الديوانية","Al-Diwaniya","الشافعية","Al-Shafeia","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","نينوى","Ninewa","سنجار","Sinjar","الشمال","Al-Shamal","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","واسط","Wassit","الصويرة","Al-Suwaira","الشحيمية","Al-Shehamiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","القادسية","Al-Qadissiya","الحمزة","Al-Hamza","الشنافية","Al-Shinafiya","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","بابل","Babil","الهاشمية","Al-Hashimiya","الشوملي","Al-Shomaly","","","","","","","Arabia Standard Time (AST)","+03.00"
"IQ","العراق","Iraq","البصرة","Al-Basrah","ابي الخصيب","Abu Al-Khaseeb","السيبة","Al-Siba","","","","","","","Arabia Standard Time (AST)","+03.00"
