"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Agliè","Agliè","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Airasca","Airasca","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Ala di Stura","Ala di Stura","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Albiano d'Ivrea","Albiano d'Ivrea","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Almese","Almese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Alpette","Alpette","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Alpignano","Alpignano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Andezeno","Andezeno","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Andrate","Andrate","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Angrogna","Angrogna","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Arignano","Arignano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Avigliana","Avigliana","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Azeglio","Azeglio","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bairo","Bairo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Balangero","Balangero","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Baldissero Canavese","Baldissero Canavese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Baldissero Torinese","Baldissero Torinese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Balme","Balme","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Banchette","Banchette","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Barbania","Barbania","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bardonecchia","Bardonecchia","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Barone Canavese","Barone Canavese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Beinasco","Beinasco","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bibiana","Bibiana","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bobbio Pellice","Bobbio Pellice","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bollengo","Bollengo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Borgaro Torinese","Borgaro Torinese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Borgiallo","Borgiallo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Borgofranco d'Ivrea","Borgofranco d'Ivrea","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Borgomasino","Borgomasino","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Borgone Susa","Borgone Susa","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bosconero","Bosconero","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Brandizzo","Brandizzo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bricherasio","Bricherasio","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Brosso","Brosso","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Brozolo","Brozolo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bruino","Bruino","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Brusasco","Brusasco","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bruzolo","Bruzolo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Buriasco","Buriasco","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Burolo","Burolo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Busano","Busano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Bussoleno","Bussoleno","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Buttigliera Alta","Buttigliera Alta","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cafasse","Cafasse","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Caluso","Caluso","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cambiano","Cambiano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Campiglione Fenile","Campiglione Fenile","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Candia Canavese","Candia Canavese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Candiolo","Candiolo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Canischio","Canischio","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cantalupa","Cantalupa","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cantoira","Cantoira","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Caprie","Caprie","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Caravino","Caravino","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Carema","Carema","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Carignano","Carignano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Carmagnola","Carmagnola","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Casalborgone","Casalborgone","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cascinette d'Ivrea","Cascinette d'Ivrea","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Caselette","Caselette","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Caselle Torinese","Caselle Torinese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Castagneto Po","Castagneto Po","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Castagnole Piemonte","Castagnole Piemonte","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Castellamonte","Castellamonte","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Castelnuovo Nigra","Castelnuovo Nigra","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Castiglione Torinese","Castiglione Torinese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cavagnolo","Cavagnolo","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cavour","Cavour","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cercenasco","Cercenasco","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Ceres","Ceres","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Ceresole Reale","Ceresole Reale","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Cesana Torinese","Cesana Torinese","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chialamberto","Chialamberto","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chianocco","Chianocco","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chiaverano","Chiaverano","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chieri","Chieri","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chiesanuova","Chiesanuova","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chiomonte","Chiomonte","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chiusa di San Michele","Chiusa di San Michele","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Chivasso","Chivasso","","","","","","","Europe/Rome","+02.00"
"IT","Italia","Italy","Piemonte","Piedmont","Torino","Turin","Ciconio","Ciconio","","","","","","","Europe/Rome","+02.00"
