"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","أم قيس","Umm Qais","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","إربد المركزي","Irbid Central","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","إرحابا","Irhaba","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الأشرفية","Al Ashrafiyyah","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","البريحة","Al Bariha","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","البويضة","Al Bwaidah","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الحصن","Al Husun","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الحي الجنوبي","Al Hai Al Janubi","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الحي الشرقي","Al Hai Al Sharqi","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الحي الشمالي","Al Hai Al Shamali","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الحي الغربي / الرمثا","Al Hai Al Gharbi / Ramtha","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الرمثا","Al Ramtha","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الشجرة","Al Shajara","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الصريح","Al Sarih","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الطرة","At Turrah","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الطيبة","Attaybeh","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","الكتة","Al Keteh","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","المخيبة التحتا","Al Mukheiba Et Tahta","","","","","","","","","Asia/Amma","+03.00"
"JO","توقيت الأردن","Jordan","محافظة إربد","Irbid","المزار","Al Mazar","","","","","","","","","Asia/Amma","+03.00"
