"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"JP","日本","Japan","Hokkaido","北海道","えりも町","Erimo Town","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","せたな町","Setana Town","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","ニセコ町","Niseko","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","むかわ町","Mukawa","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","七飯町","Nanae","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","三笠市","Mikasa","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","上ノ国町","Kaminokuni","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","上士幌町","Kamishihoro","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","上富良野","Kamifurano","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","上川町","Kawakami-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","上砂川町","Kamisunagawa-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","下川町","Shimokawa-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中央区","Chuo-ku","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中富良野","Nakafurano-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中川町","Nakagawa-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中札内村","Nakasatsunai-mura","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中標津町","Nakashibetsu-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","中頓別町","Nakatonbetsu-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","乙部町","Otobe-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","京極町","Kyogoku-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","仁木町","Niki-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","今金町","Imakane-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","伊達市","Date City","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","佐呂間町","Saroma-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","余市町","Yoichi-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","倶知安町","Kutchan-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","八雲町","Yakumo-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","共和町","Kyowa-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","函館市","Hakodate City","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","初山別村","Shosanbetsu-mura","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","別海町","Betsukai-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","利尻富士","Rishirifuji-cho","","","","","","","","","Asia/Tokyo","+09.00"
"JP","日本","Japan","Hokkaido","北海道","利尻町","Rishiri-cho","","","","","","","","","Asia/Tokyo","+09.00"
