"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Lembus","Lembus","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Ewalel/Chapchap","Ewalel/Chapchap","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Kabarnet","Kabarnet","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Kapropita","Kapropita","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Sacho","Sacho","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo Central","Baringo Central","Tenges","Tenges","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo North","Baringo North","Bartabwa","Bartabwa","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo North","Baringo North","Barwessa","Barwessa","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo North","Baringo North","Kabartonjo","Kabartonjo","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo North","Baringo North","Saimo/Kipsaraman","Saimo/Kipsaraman","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo North","Baringo North","Saimo/Soi","Saimo/Soi","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo South","Baringo South","Ilchamus","Ilchamus","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo South","Baringo South","Marigat","Marigat","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo South","Baringo South","Mochongoi","Mochongoi","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Baringo South","Baringo South","Mukutani","Mukutani","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Eldama Ravine","Eldama Ravine","Koibatek","Koibatek","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Eldama Ravine","Eldama Ravine","Lembus Kwen","Lembus Kwen","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Eldama Ravine","Eldama Ravine","Lembus/Perkerra","Lembus/Perkerra","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Eldama Ravine","Eldama Ravine","Mumberes/Maji Mazuri","Mumberes/Maji Mazuri","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Eldama Ravine","Eldama Ravine","Ravine","Ravine","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Mogotio","Mogotio","Emining","Emining","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Mogotio","Mogotio","Kisanana","Kisanana","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Mogotio","Mogotio","Mogotio","Mogotio","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Tiaty","Tiaty","Churo/Amaya","Churo/Amaya","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Tiaty","Tiaty","Kolowa","Kolowa","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Tiaty","Tiaty","Loiyamorock","Loiyamorock","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Tiaty","Tiaty","Ribkwo","Ribkwo","","","","","","","Africa/Nairobi","+03.00"
"KE","Kenya","Kenya","Baringo","Baringo","Tiaty","Tiaty","Silale","Silale","","","","","","","Africa/Nairobi","+03.00"
