"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Deokcheon 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Deokcheon 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Deokcheon 3(sam)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Geumgok","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Gupo 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Gupo 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Gupo 3(sam)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Hwamyeong1","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Hwamyeong2","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Hwamyeong3","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Mandeok 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Mandeok 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","북구","Buk","북구","Mandeok 3(sam)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Beomcheon 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Beomcheon 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Buam 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Buam 3(sam)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Bujeon 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Bujeon 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Choeup","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Danggam 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Danggam 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Danggam 4(sa)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Gaegeum 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Gaegeum 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Gaegeum 3(sam)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Gaya 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Gaya 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Jeonpo 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Jeonpo 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Yangjeong 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Yangjeong 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Busanjin","부산진구","Yeonji","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","연제구","Busanjin","연제구","Yeonsan 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","동구","Dong","동구","Beomil 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","부산진구","Dong","부산진구","Beomil 1(il)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","동구","Dong","동구","Beomil 2(i)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","동구","Dong","동구","Beomil 5(o)","","","","","","","Asia/Seoul","+09.00"
"KR","한국","South Korea","부산광역시","Busan","동구","Dong","동구","Choryang 1(il)","","","","","","","Asia/Seoul","+09.00"
