"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"KZ","Qazaqstan","Kazakhstan","Mangghystau","Mangystau Region","Beyneuskiy","Beyneu District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Aqmola","Akmola Region","Arshalynskiy","Arshaly District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Qaraghandy","Ulytau Region","Ulytauskiy","Ulytau District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","SouthKazakhstan","Turkistan Region","Sayramskiy","Sayram District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","WestKazakhstan","West Kazakhstan Region","Zelenovskiy","Zelenov District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Qyzylorda","Kyzylorda Region","Kazalinskiy","Kazaly District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","SouthKazakhstan","Turkistan Region","Maktaaral`skiy","Maktaaral District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","SouthKazakhstan","Turkistan Region","Saryagashskiy","Saryagash District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Aqmola","Akmola Region","Atbasarskiy","Atbasar District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","EastKazakhstan","East Kazakhstan Region","Zaysanskiy","Zaysan District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","WestKazakhstan","West Kazakhstan Region","Kaztalovskiy","Kaztal District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Pavlodar","Pavlodar Region","Uspenskiy","Uspen District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Mangghystau","Mangystau Region","Aqtau","Aktau","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","","Karaganda Region","","Termitau","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","EastKazakhstan","Abay Region","Zharminskiy","Zharma District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Qostanay","Kostanay Region","Zhitikarinskiy","Zhetikara District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Almaty","Almaty Region","Karasayskiy","Karasay District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Zhambyl","Jambyl Region","Zhambylskiy","Zhambyl District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","EastKazakhstan","East Kazakhstan Region","Katon-Karagayskiy","Katonkaragay District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","EastKazakhstan","East Kazakhstan Region","Tarbagatayskiy","Tarbagatay District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","Aqmola","Akmola Region","Korgalzhynskiy","Korgalzhyn District","","","","","","","","","Asia/Almaty","+05.00"
"KZ","Qazaqstan","Kazakhstan","SouthKazakhstan","Shymkent","Sayramskiy","Enbekshinsky District","","","","","","","","","Asia/Almaty","+05.00"
