"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","A.Baranausko g.","A.Baranausko g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","A.Jonyno g.","A.Jonyno g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","A.Juozapavičiaus g.","A.Juozapavičiaus g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","A.Matučio g.","A.Matučio g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","A.Žmuidzinavičiaus g.","A.Žmuidzinavičiaus g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aerodromo g.","Aerodromo g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Akacijų g.","Akacijų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Alovės g.","Alovės g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Alytaus g.","Alytaus g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Alyvų g.","Alyvų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Alyvų tako g.","Alyvų tako g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Amatų g.","Amatų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aniškio g.","Aniškio g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aniškio k.","Aniškio k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Apynių g.","Apynių g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Apynių tak.","Apynių tak.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aronijų g.","Aronijų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Ateities g.","Ateities g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Audros g.","Audros g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aukštakalnio g.","Aukštakalnio g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aukštoji g.","Aukštoji g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aušrinės g.","Aušrinės g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aušros g.","Aušros g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Aviečių g.","Aviečių g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","B.Radvilaitės g.","B.Radvilaitės g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bakšių g.","Bakšių g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bakšių k.","Bakšių k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bazorų k.","Bazorų k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bažnyčios g.","Bažnyčios g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bemotiškių k.","Bemotiškių k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Beržų g.","Beržų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bijūnų g.","Bijūnų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Birutės g.","Birutės g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Birštono g.","Birštono g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Bukauciškių k.","Bukauciškių k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Butrimiškių k.","Butrimiškių k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Būdos k.","Būdos k.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Dailidžių g.","Dailidžių g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Dainavos g.","Dainavos g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Darželio g.","Darželio g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Daugų g.","Daugų g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Domantonių g.","Domantonių g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Draugystės g.","Draugystės g.","","","","","Europe/Vilnius","+03.00"
"LT","Lietuva","Lithuania","Alytaus","Alytaus","Alytaus m.","Alytaus m.","Alytus","Alytus","Draustinio g.","Draustinio g.","","","","","Europe/Vilnius","+03.00"
