"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"LU","Luxembourg","Luxembourg","Remich","Remich","Schengen","","Wintrange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Wiltz","Wiltz","Winseler","","Winseler","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Clervaux","Clervaux","Troisvierges","","Wilwerdange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Clervaux","Clervaux","Wincrange","","Oberwampach","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Mersch","Mersch","Helperknapp","","Tuntange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Grevenmacher","Grevenmacher","Mertert","","Wasserbillig","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Echternach","Echternach","Rosport-Mompach","","Lilien","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Redange","Redange","Groussbus-Wal","Groussbus-Wal","Heispelt","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Clervaux","Clervaux","Parc Hosingen","","Rodershausen","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Wiltz","Wiltz","Esch-sur-Sûre","Esch-sur-Sure","Hierheck","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Echternach","Echternach","Berdorf","Berdorf","Weilerbach","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Redange","Redange","Rambrouch","","Riesenhof","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Echternach","Echternach","Bech","","Blumenthal","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Clervaux","Clervaux","Troisvierges","","Hautbellain","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Mersch","Mersch","Lorentzweiler","","Klingelscheuer","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Mersch","Mersch","Fischbach","","Koedange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Echternach","Echternach","Echternach","Echternach","Echternach","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Mersch","Mersch","Heffingen","","Reuland","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Diekirch","Diekirch","Feulen","","Oberfeulen","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Redange","Redange","Rambrouch","","Eschette","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Grevenmacher","Grevenmacher","Manternach","","Berbourg","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Diekirch","Diekirch","Vallée de l'Ernz","","Medernach","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Redange","Redange","Groussbus-Wal","Groussbus-Wal","Lehrhof","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Clervaux","Clervaux","Clervaux","Clervaux","Marnach","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Mersch","Mersch","Mersch","","Reckange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Wiltz","Wiltz","Winseler","","Berlé","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Redange","Redange","Beckerich","","Noerdange","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Esch-sur-Alzette","Esch-sur-Alzette","Roeser","","Roeser","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Grevenmacher","Grevenmacher","Biwer","","Wecker-Gare","","","","","","","","Europe/Luxembourg","+01.00"
"LU","Luxembourg","Luxembourg","Diekirch","Diekirch","Bettendorf","","Gilsdorf","","","","","","","","Europe/Luxembourg","+01.00"
