"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aiviekstes Parish","","Krievciems","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aiviekstes Parish","","Kriškalni","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aiviekstes Parish","","Maiļupsala","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aiviekstes Parish","","Īvāni","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aiviekstes Parish","","Ķūģi","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aizkraukles Parish","","Aizkraukle","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Aizkraukles Parish","","Aizkraukles stacija","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Bebru Parish","","Vecbebri","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Daudzeses Parish","","Daudzese","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Daudzeses Parish","","Daudzeva","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Iršu Parish","","Irši","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Jaunjelgavas Parish","","Jaunjelgavas","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Klintaines Parish","","Rīteri","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Klintaines Parish","","Stukmaņi","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Kokneses Parish","","Bormaņi","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Kokneses Parish","","Koknese","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Mazzalves Parish","","Ērberģe","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Neretas Parish","","Nereta","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Pilskalnes Parish","","Pilskalne","","","","","","","Europe/Riga","+02.00"
"LV","Latvija","Latvia","","Aizkraukles novads","","Seces Parish","","Bitāni","","","","","","","Europe/Riga","+02.00"
