"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","أزيلال","Azilal","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","دمنات","Demnate","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","اكودي نلخير","Agoudi N'Lkhair","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","أيت عباس","Ait Abbas","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","أيت بوعلي","Ait Bou Oulli","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","أيت امحمد","Ait M'Hamed","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","تبانت","Tabant","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","تامدا نومرسيد","Tamda Noumercid","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","زاوية احنصال","Zaouiat Ahansal","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","أيت تكلا","Ait Taguella","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","بني حسان","Bni Hassane","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","بزو","Bzou","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","فم الجمعة","Foum Jemaa","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","مولاي عيسى بن إدريس","Moulay Aissa Ben Driss","","","","","","","Africa/Casablanca","+01.00"
"MA","المغرب","Morocco","بني ملال - خنيفرة","Béni Mellal-Khénifra","أزيلال","Azilal","ارفالة","Rfala","","","","","","","Africa/Casablanca","+01.00"
