"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Tomora","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Sidibela","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Niambia","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Kontéla","Kontela","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Diallan","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Diakon","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Bafoulabe","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Gounfan","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Koundian","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Mahina","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Diokeli","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Bamafélé","Bamafele","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Bafoulabe","","Dinlin Oualia","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Madiga Sacko","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Lakamané","Lakamane","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Diéoura","Dieoura","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Diema","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Diangounté Camara","Diangounte Camara","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Béma","Bema","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Fatao","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Sansankidé","Sansankide","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Guédébiné","Guedebine","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Grouméra","Groumera","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Gomitradougou","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Fassoudebé","Fassou Debe","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Lambidou","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Dianguirdé","Dianguirde","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Diéma","Diema","Dioumara Koussata","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Fégui","Fegui","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Kayes","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Tafacirga","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Séro Siamanou","Sero Diamanou","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Ségala","Segala","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Sahel","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Sadiola","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Logo","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Koussané","Koussane","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Hawa Dembaya","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Falémé","Faleme","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Djélébou","Djelebou","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Diamou","","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Colimbiné","Colimbine","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Gouméra","Goumera","","","","","","","Africa/Bamako","+00.00"
"","Mali (le)","Mali","Kayes","Kayes","Kayes","","Koniakary","","","","","","","","Africa/Bamako","+00.00"
