"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"MM","မြန်မာ","Myanmar","ရှမ်းပြည်နယ် (မြော","Shan (North)","မူဆယ်ခရိုင်","Muse","မူဆယ်","Muse","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ရှမ်းပြည်နယ် (မြော","Shan (North)","မက်မန်းခရိုင်","Matman","ပန်ဆန်း","Pangsang","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","စစ်ကိုင်းတိုင်းဒ","Sagaing","ကန့်ဘလူခရိုင်","Kanbalu","ကျွန်းလှ","Kyunhla","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ပဲခူးတိုင်းဒေသကြ","Bago (East)","ပဲခူးခရိုင်","Bago","ရွှေကျင်","Shwegyin","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ရှမ်းပြည်နယ် (မြော","Shan (North)","ဟိုပန်ခရိုင်","Hopang","ဟိုပန်","Hopang","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ရှမ်းပြည်နယ် (မြော","Shan (North)","ဟိုပန်ခရိုင်","Hopang","ပန်ဝိုင်","Pangwaun","","","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","အာလမ်","Alam","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","နောင်နန်း","Nawng Nang","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","ပလနစခန်းများ","Pa La Na Sa Khan Myar","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","နန့်ကျင်","Nam Kyin","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","နန်းကွေ့","Nam Kwayt","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","မော်ဖေါင်း","Maw Hpawng","","","","","Asia/Yangon","+06.30"
"MM","မြန်မာ","Myanmar","ကချင်ပြည်နယ်","Kachin","မြစ်ကြီးနားခရိုင","Myitkyina","မြစ်ကြီးနား","Myitkyina","ရှဒေါင်","Sha Daung","","","","","Asia/Yangon","+06.30"
