"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"MN","монгол","Mongolia","","Central region","Дундговь","Dundgovi","Адаацаг","Adaacag","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Дорноговь","Dornogovi","Айраг","Airag","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Алтанбулаг","Altanbulag","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Сэлэнгэ","Selenge","Алтанбулаг","Altanbulag","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Дорноговь","Dornogovi","Алтанширээ","Altanshiree","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Аргалант","Argalant","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Архуст","Arxust","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Сэлэнгэ","Selenge","Баруунбүрэн","Baruunbu'ren","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Батсүмбэр","Batsu'mber","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Баян","Bayan","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Баян-Өнжүүл","Bayan-O'njuul","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Өмнөговь","Omnogovi","Баян-Овоо","Bayan-Ovoo","","","","","","","Asia/Ulaanbaatar","+08.00"
"MN","монгол","Mongolia","","Central region","Төв","To'v","Баянцагаан","Bayancagaan","","","","","","","Asia/Ulaanbaatar","+08.00"
