"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Aguascalientes","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Asientos","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Calvillo","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Cosío","Cosio","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","El Llano","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Jesús María","Jesus Maria","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Pabellón de Arteaga","Pabellon de Arteaga","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Rincón de Romos","Rincon de Romos","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","San Francisco de los Romo","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","San José de Gracia","San Jose de Gracia","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Aguascalientes","Aguascalientes","Tepezalá","Tepezala","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California","Baja California","Ensenada","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California","Baja California","Mexicali","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California","Baja California","Playas de Rosarito","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California","Baja California","Tecate","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California","Baja California","Tijuana","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California Sur","Baja California Sur","Comondú","Comondu","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California Sur","Baja California Sur","La Paz","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California Sur","Baja California Sur","Loreto","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California Sur","Baja California Sur","Los Cabos","","","","","","","","","","America/Mexico_City","-06.00"
"MX","México","Mexico","Baja California Sur","Baja California Sur","Mulegé","Mulege","","","","","","","","","America/Mexico_City","-06.00"
