"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"NG","","Nigeria","","Abia","","Aba North","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Aba South","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Arochukwu","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Bende","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Ikwuano","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Isiala-Ngwa North","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Isiala-Ngwa South","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Isuikwuato","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Obi Ngwa","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Ohafia","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Osisioma","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Ugwunagbo","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Ukwa East","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Ukwa West","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Umu Nneochi","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Umuahia North","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Abia","","Umuahia South","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Demsa","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Fufore","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Ganye","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Girei","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Gombi","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Guyuk","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Hong","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Jada","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Lamurde","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Madagali","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Maiha","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Mayo-Belwa","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Michika","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Mubi North","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Mubi South","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Numan","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Shelleng","","","","","","","","","Africa/Lagos","+01.00"
"NG","","Nigeria","","Adamawa","","Song","","","","","","","","","Africa/Lagos","+01.00"
