"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Amen","Amen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Anderen","Anderen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Anloo","Anloo","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Annen","Annen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Annerveenschekanaal","Annerveenschekanaal","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Balloo","Balloo","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Balloërveld","Balloërveld","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Deurze","Deurze","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eext","Eext","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eexterveen","Eexterveen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eexterveenschekanaal","Eexterveenschekanaal","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eexterzandvoort","Eexterzandvoort","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Ekehaar","Ekehaar","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eldersloo","Eldersloo","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Eleveld","Eleveld","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gasselte","Gasselte","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gasselternijveen","Gasselternijveen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gasselternijveenschemond","Gasselternijveenschemond","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gasteren","Gasteren","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Geelbroek","Geelbroek","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gieten","Gieten","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Gieterveen","Gieterveen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Grolloo","Grolloo","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Marwijksoord","Marwijksoord","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Nieuw Annerveen","Nieuw Annerveen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Nieuwediep","Nieuwediep","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Nijlande","Nijlande","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Nooitgedacht","Nooitgedacht","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Oud Annerveen","Oud Annerveen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Papenvoort","Papenvoort","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Rolde","Rolde","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Schipborg","Schipborg","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Schoonloo","Schoonloo","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Spijkerboor","Spijkerboor","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Aa en Hunze","Aa en Hunze","Vredenheim","Vredenheim","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Assen","Assen","Assen","Assen","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Assen","Assen","Loon","Loon","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Assen","Assen","Rhee","Rhee","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Assen","Assen","Ter Aard","Ter Aard","","","","","","","Europe/Amsterdam","+01.00"
"NL","Nederland","Netherlands","Drenthe","Drenthe","Assen","Assen","Ubbena","Ubbena","","","","","","","Europe/Amsterdam","+01.00"
