"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"NO","","Norway","Agder","Agder","Arendal","Arendal","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Birkenes","Birkenes","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Bygland","Bygland","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Bykle","Bykle","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Evje Og Hornnes","Evje Og Hornnes","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Farsund","Farsund","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Flekkefjord","Flekkefjord","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Froland","Froland","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Gjerstad","Gjerstad","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Grimstad","Grimstad","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Hægebostad","Hægebostad","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Iveland","Iveland","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Kristiansand","Kristiansand","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Kvinesdal","Kvinesdal","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Lillesand","Lillesand","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Lindesnes","Lindesnes","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Lyngdal","Lyngdal","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Risør","Risør","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Sirdal","Sirdal","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Tvedestrand","Tvedestrand","","","","","","","","","Europe/Oslo","+01.00"
"NO","","Norway","Agder","Agder","Valle","Valle","","","","","","","","","Europe/Oslo","+01.00"
