"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Phungling","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Phaktanlung","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Mikwakhola","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Sirijanga","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Meringden","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Maiwakhola","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Aatharai Tribeni","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Pathivara Yangwarak","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Taplejung","","Sidingba","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Phidim","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Hilihan","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Yangbarak","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Falelung","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Kummayak","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Falgunanda","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Tumbewa","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Panchthar","","Miklajung","","","","","","","Asia/Kathmandu","+05.75"
"NP","नेपाल","Nepal","","Koshi","","Ilam","","Deumai","","","","","","","Asia/Kathmandu","+05.75"
