"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"NZ","","NewZealand","Auckland","Auckland","Auckland","Auckland","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","AreaOutsideTerritorialAuthori","AreaOutsideTerritorialAuthori","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","Kawerau","Kawerau","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","Opotiki","Opotiki","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","Rotorua","Rotorua","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","Tauranga","Tauranga","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","WesternBayofPlenty","WesternBayofPlenty","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","BayofPlenty","BayofPlenty","Whakatane","Whakatane","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Ashburton","Ashburton","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Christchurch","Christchurch","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Hurunui","Hurunui","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Kaikoura","Kaikoura","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Mackenzie","Mackenzie","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Selwyn","Selwyn","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Timaru","Timaru","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Waimakariri","Waimakariri","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Waimate","Waimate","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Canterbury","Canterbury","Waitaki","Waitaki","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","ChathamIslands","ChathamIslands","ChathamIslands","ChathamIslands","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Gisborne","Gisborne","Gisborne","Gisborne","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Hawke'sBay","Hawke'sBay","CentralHawke'sBay","CentralHawke'sBay","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Hawke'sBay","Hawke'sBay","Hastings","Hastings","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Hawke'sBay","Hawke'sBay","Napier","Napier","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Hawke'sBay","Hawke'sBay","Wairoa","Wairoa","","","","","","","","","Pacific/Auckland","+12.00"
"NZ","","NewZealand","Manawatu-Wanganui","Manawatu-Wanganui","Horowhenua","Horowhenua","","","","","","","","","Pacific/Auckland","+12.00"
