"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"OM","عُمان","Oman","البريمي","Al Buraymi","البريمي","Al Buraymi","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","البريمي","Al Buraymi","محضة","Mahdah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","ادم","Adam","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","ازكي","Izki","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","الحمراء","Al Hamra","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","بدبد","Bid Bid","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","بهلا","Bahla","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","سمائل","Samail","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","منح","Manah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الداخلية","Al Dakhiliyah","نزوى","Nizwa","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الظاهرة","Adh Dhahirah","ضنك","Dank","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الظاهرة","Adh Dhahirah","عبرى","Ibri","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الظاهرة","Adh Dhahirah","ينقل","Yanqul","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الوسطى","Al Wusta","الجازر","Al Jazer","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الوسطى","Al Wusta","الدقم","Duqm","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الوسطى","Al Wusta","محوت","Muhut","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","الوسطى","Al Wusta","هيماء","Haima","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","الخابورة","Al Khaburah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","السويق","As Suwayq","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","شناص","Shinas","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","صحار","Sohar","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","صيم","Saham","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الباطنة","Al Batinah North","لوى","Liwa","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الشرقية","Ash Sharqiyah","الكامل والوافي","Al Kamil Wa Al Wafi","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الشرقية","Ash Sharqiyah","جعلان بني بوحسن","Jalan Bani Bu Hasan","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الشرقية","Ash Sharqiyah","جعلان بني بوع","Jalan Bani Bu Ali","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الشرقية","Ash Sharqiyah","صور","Sur","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","جنوب الشرقية","Ash Sharqiyah","مصيرة","Masirah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","الرستاق","Ar Rustaq","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","العوابي","Al Awabi","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","المصنعة","Masnaah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","بركاء","Barka","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","نخل","Nakhal","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الباطنة","Al Batinah South","وادي المعاول","Wadi Al Maawil","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","ابراء","Ibra","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","القابل","Al Qabil","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","المضيبي","Al Mudaybi","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","بدية","Badiyah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","دماء والطائيين","Dima Waat Taiyyin","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","شمال الشرقية","Al Sharqiyah North","شمال الشرقية","Wadi Bani Khalid","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","ثمريت","Thumrait","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","رخيوت","Rukhyut","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","سدح","Sadh","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","صلالة","Salalah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","ضلكوت","Dalkut","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","طاقة","Taqah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","ظفار","Shalim Wa Juzor Al Hallaniyat","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","مرباط","Mirbat","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","ظفار","Dhofar","مقشن","Muqshin","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","السيب","Al Seeb","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","العامرات","Al Amrat","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","بوشر","Bawshar","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","قريات","Qurayyat","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","مسقط","Muscat","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسقط","Muscat","مطرح","Mutrah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسندم","Musandam","بخا","Bukha","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسندم","Musandam","خصب","Khasab","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسندم","Musandam","دبا البيعة","Daba Al Bayah","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","مسندم","Musandam","مدحاء","Madha","","","","","","","","","Asia/Muscat","+04.00"
"OM","عُمان","Oman","","","","","","","","","","","","","Asia/Muscat","+04.00"
