"country_code","country_lc","country_en","region1_lc","region1_en","region2_lc","region2_en","region3_lc","region3_en","region4_lc","region4_en","region5_lc","region5_en","region6_lc","region6_en","timezone","utc"
"PA","Panama","Panama","","Bocas Del Toro","","Bocas Del Toro","","Bastimentos","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Bocas Del Toro","","Cauchero","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Bocas Del Toro","","Punta Laurel","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Bocas Del Toro","","Tierra Oscura","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Bocas Del Toro","","","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","Almirante","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","El Empalme","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","El Teribe","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","Guabito","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","Las Tablas","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","Valle Del Risco","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Changuinola","","","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Chiriqui Grande","","Miramar","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Chiriqui Grande","","Punta Peña","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Chiriqui Grande","","Punta Robalo","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Chiriqui Grande","","Rambala","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Bocas Del Toro","","Chiriqui Grande","","","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Canta Gallo","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Divala","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Guarumal","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Nuevo Mexico","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Palo Grande","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Querevalo","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","Santo Tomas","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Alanje","","","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Baru","","Baco","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Baru","","Limones","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Baru","","Progreso","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Baru","","Puerto Armuelles","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Baru","","Rodolfo Aguilar","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Bagala","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Cordillera","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Guabal","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Guayabal","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Paraiso","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Pedregal","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","Tijeras","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boqueron","","","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boquete","","Alto Boquete","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boquete","","Bajo Boquete","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boquete","","Caldera","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boquete","","Jaramillo","","","","","","","America/Panama","-05.00"
"PA","Panama","Panama","","Chiriqui","","Boquete","","Los Naranjos","","","","","","","America/Panama","-05.00"
